Protein.Group,reliability
A0A024R1R8;Q9Y2S6,0.0
A0A075B6H9,0.8331201511657306
A0A075B6I0,0.0
A0A075B6I1,0.27590159712225776
A0A075B6I4,0.0
A0A075B6I9,0.6577729535867882
A0A075B6J9,0.3516568985449225
A0A075B6K4,0.0
A0A075B6K5,0.0
A0A075B6P5;A0A087WW87;P01614;P01615,0.0
A0A075B6Q5,0.0
A0A075B6R2,0.0
A0A087WSX0,0.9384785978342843
A0A087WSY4,0.0
A0A0A0MRZ8;P04433,0.0
A0A0A0MRZ9,0.0
A0A0A0MS15,0.5915880368457609
A0A0A0MT36;A0A0C4DH26,0.0
A0A0B4J1U7,0.0
A0A0B4J1V0,0.0
A0A0B4J1V2,0.0
A0A0B4J1V6,0.8935436206824441
A0A0B4J1X5,0.0
A0A0B4J1Y8,0.48639811658464965
A0A0B4J1Y9,0.0
A0A0B4J2D5,0.6702725597320363
A0A0B4J2D9;P0DP09,0.0
A0A0B4J2F0,0.0
A0A0C4DH25,0.0
A0A0C4DH29,0.0
A0A0C4DH31,0.0
A0A0C4DH34,0.4949888308030815
A0A0C4DH35,0.0
A0A0C4DH36,0.0
A0A0C4DH38,0.0
A0A0C4DH43,0.0
A0A0C4DH67,0.0
A0A0C4DH68,0.0
A0A0C4DH72,0.0
A0A0J9YX35,0.0
A0A0J9YXX1,0.0
A0A1B0GTC6,0.9076197621077802
A0AUZ9-2,0.0
A0AVT1,0.5152738197103762
A0FGR8-2,0.7622139894633174
A0FGR8-6,0.0
A0M8Q6,0.8231329895387433
A0MZ66;A0MZ66-3;A0MZ66-4,0.0
A0PJW6,0.0
A1A4S6,0.0
A1A5C7,0.0
A1L0T0,0.0
A1L170-2,0.0
A1L390,0.0
A1L3X0,0.9033747673131198
A1L4H1,0.0
A1X283,0.9678801369768258
A2A2Y4;A2A2Y4-2;A2A2Y4-5,0.0
A2NJV5,0.0
A2RRP1,0.3780853574889807
A2RTX5,0.0
A2RUS2;A2RUS2-2,0.9093248302015441
A3KN83-4,0.0
A4D126;A4D126-2,0.0
A4D1B5,0.4295335669349356
A4D1P6;A4D1P6-2,0.761686046933191
A4FU01,0.5695177183747354
A4FU69;A4FU69-3,0.0
A4UGR9-4,0.17431087855595676
A4UGR9;A4UGR9-3,0.0
A5D8V6,0.7402800977059413
A5PLL7;A5PLL7-2,0.0
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5,0.0
A5YKK6,0.2556901055888348
A6NC98,0.0
A6NCC3-1;I6L899-2,0.0
A6NCE7;Q9GZQ8,0.0
A6NCL7,0.0
A6NDG6,0.5487952481326716
A6NDU8,0.0
A6NFX1,0.7955425730180248
A6NGU5,0.0
A6NHL2;A6NHL2-2,0.9088321477040041
A6NHM9,0.8206507025800521
A6NHR9,0.0
A6NIH7,0.6705192901255582
A6NML5,0.863085643689474
A6QL63,0.0
A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-5,0.0
A7KAX9,0.0
A8MSI8,0.0
A9UHW6;A9UHW6-2;A9UHW6-3,0.8309888791913259
B0I1T2,0.4733220149305478
B0YJ81,0.0
B1AJZ9;B1AJZ9-4,0.0
B2RNN3;P0C862,0.0
B2RUZ4,0.48235257189563824
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08,0.0
B9A064,0.0
B9EJG8;B9EJG8-2,0.7901729665507161
C0HM01,0.0
C4AMC7;Q6VEQ5,0.7599422538878582
C9J7I0,0.0
C9JJH3,0.19752976815572548
C9JLW8,0.0
C9JQI7,0.0
E9PAV3,0.26061183014152
G9CGD6;G9CGD6-2,0.0
H3BSY2,0.9112730149266222
L0R6Q1,0.48292451837343137
O00116,0.686484481204317
O00139-2,0.45930327871482024
O00139;O00139-4,0.8503170663884572
O00142-6,0.0
O00151,0.8993022193772743
O00154-4,0.10269620538111096
O00159-2,0.9529894821946354
O00160,0.7410746631599625
O00161,0.67983904243428
O00165;O00165-2;O00165-5,0.0
O00170,0.7199929102684304
O00175,0.0
O00178,0.0
O00182;O00182-2;O00182-3;O00182-6,0.0
O00186,0.7096510004923667
O00187,0.8444143769372829
O00187-2,0.0
O00189,0.02723785829935819
O00194,0.76571449523113
O00203,0.6913433141527081
O00214-2,0.8960749888138511
O00217,0.8651068550587744
O00231;O00231-2,0.0
O00232,0.5925932586355006
O00233,0.4256727225182337
O00244,0.944927282076859
O00257,0.0
O00258;O00258-2,0.9304607328367414
O00264,0.0
O00267;O00267-2,0.0
O00291;O00291-3;O00291-4,0.0
O00299,0.0
O00303,0.27798482820495973
O00329,0.0
O00330,0.6659534063125707
O00339;O00339-2;O00339-3,0.0
O00391,0.5720921374057895
O00399,0.0
O00400,0.02600195806810389
O00401,0.0
O00408-2,0.4646614089678505
O00410;O00410-3,0.5754360900528264
O00421;O00421-2,0.0
O00429,0.0
O00429-9,0.0
O00442,0.0
O00443,0.8040539274075093
O00453;O00453-10;O00453-11;O00453-13;O00453-2;O00453-3;O00453-4;O00453-6,0.0
O00458;O00458-2,0.0
O00461,0.0
O00462,0.6181610981288205
O00468-6,0.0
O00469-2,0.0
O00471,0.6148044075373026
O00478;O00478-2,0.0
O00479,0.0
O00481,0.0
O00483,0.3722222834881988
O00487,0.4246100360560613
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9,0.0
O00501,0.0
O00505,0.0
O00506,0.0
O00507,0.0
O00522,0.0
O00533-2,0.0
O00534,0.0
O00555;O00555-4;O00555-6,0.0
O00559-2,0.2143497625815195
O00560,0.6775891419262725
O00562,0.0
O00567,0.0
O00571;O00571-2,0.0
O00584,0.0
O00587,0.0
O00592;O00592-2,0.0
O00602,0.0
O00622,0.0
O00625,0.0
O00628;O00628-2,0.23543695690130262
O00629,0.20239446287994936
O00743;O00743-2,0.5055537725356273
O00746,0.0
O00764,0.0
O14498,0.0
O14521;O14521-2;O14521-4,0.0
O14523,0.2553597987096875
O14526-2,0.0
O14530,0.696895422179418
O14545,0.0
O14548,0.9216553008044065
O14556,0.0
O14561,0.0
O14562,0.0
O14569,0.0
O14576;O14576-2;O14576-3;O14576-4;O14576-5,0.0
O14578;O14578-4,0.0
O14579,0.9667563598588471
O14602,0.0
O14607;O14607-4;O14607-5,0.0
O14617-5,0.9263202652877291
O14618,0.0
O14639-6,0.7082766726335681
O14653;O14653-2,0.0
O14656,0.8964024542689224
O14657,0.877014215983097
O14662-2,0.0
O14672,0.9052722307201523
O14681,0.8081240635140639
O14713,0.7202378720045487
O14717,0.0
O14727;O14727-4,0.0
O14730,0.1832646477797861
O14732;O14732-2,0.0
O14733;O14733-3;O14733-4,0.0
O14734,0.0
O14735-3,0.0
O14737,0.16375460950292872
O14744,0.53945682060173
O14745,0.9507817744050048
O14746-2;O14746-4,0.0
O14772,0.577314048610048
O14773,0.8890450839916726
O14775-2,0.7801345686772412
O14786;O14786-2;O14786-3,0.0
O14787-2,0.0
O14791,0.7134118988648785
O14795;O14795-2,0.0
O14817,0.0
O14818,0.8155815796072088
O14828,0.2296694592948333
O14841,0.0
O14867,0.0
O14874;O14874-2;O14874-3,0.6484335984592727
O14879,0.0
O14880,0.7747937929278352
O14893;O14893-2;O14893-3;O14893-5,0.7015522942389789
O14907,0.0
O14908,0.5007886288670976
O14920,0.0
O14933,0.5453587461211372
O14949,0.0
O14950;P19105,0.0
O14960,0.03914388718075283
O14964,0.6774979738443124
O14966,0.4159859372031012
O14972,0.06644363081347297
O14974-2,0.0
O14974-4,0.7829495419890247
O14975,0.2792878894397848
O14976,0.3337506556267597
O14979,0.0
O14980,0.8898139659057275
O14986;O14986-2;O14986-3,0.0
O15013;O15013-4;O15013-5;O15013-6;O15013-7,0.9684629635793452
O15018,0.0
O15021,0.3664593098132471
O15027;O15027-2;O15027-3;O15027-4;O15027-5,0.9116386645537141
O15031,0.782238482870602
O15037,0.0
O15040,0.23355352594214732
O15066,0.0
O15067,0.1326758907861011
O15068-8,0.5526741783157618
O15083,0.4889656442284738
O15084-1,0.7800553429018808
O15111,0.44280619009060584
O15116,0.0
O15117-3,0.0
O15120,0.17128026799627546
O15121,0.0
O15126,0.7437492305765548
O15127,0.0
O15143,0.9091421822803668
O15144,0.0
O15145,0.0
O15155,0.8672159223145589
O15160,0.0
O15169;O15169-2,0.0
O15173,0.5956301059195299
O15194,0.0
O15204;O15204-2,0.8485490422418162
O15211,0.24176339476872685
O15212,0.37480346498886596
O15228,0.0
O15230,0.0
O15231-3,0.6212450276170999
O15231-8,0.0
O15254,0.0
O15258,0.4344287483933965
O15260-2,0.0
O15269,0.9653410930102169
O15270,0.27952323290624814
O15294,0.0
O15305,0.0
O15315-1,0.0
O15321;O15321-2,0.2820646257597559
O15327,0.7234153894735292
O15335,0.0
O15357,0.7632631311805227
O15371;O15371-2;O15371-3,0.485221522073542
O15372,0.8334928749306728
O15382,0.0
O15397,0.0
O15400;O15400-2,0.17540658779599286
O15417,0.40046069139573426
O15427,0.7996701883038352
O15438,0.0
O15439,0.0
O15484,0.0
O15498,0.0
O15503,0.0
O15511,0.0
O15523;O15523-2,0.7095564516134366
O15525,0.0
O15530;O15530-3,0.0
O15533-2,0.6533158500498932
O15539;O15539-2,0.908717971124107
O15551,0.0
O43147;O43147-2,0.0
O43149,0.0
O43150,0.0
O43156,0.0
O43157,0.0
O43169,0.579502991621987
O43175,0.0
O43181,0.48652877105852704
O43182;O43182-4,0.6718452105431438
O43187,0.2074874484530446
O43236-7,0.0
O43237,0.0
O43242,0.23953767402836537
O43252,0.0
O43255,0.0
O43264,0.0
O43286,0.0
O43291;O43291-2,0.8603811150222852
O43292,0.0
O43293,0.0
O43294;O43294-2,0.9017204891644163
O43299,0.0
O43304,0.0
O43306;O43306-2,0.49986518985636663
O43310;O43310-2,0.6140135693663678
O43312-5,0.23978076498407258
O43314;O43314-2,0.24307976173684623
O43318,0.8727599051445984
O43318-2,0.0
O43324,0.0
O43353;O43353-2,0.6292850148210292
O43390;O43390-2,0.0
O43396,0.5728788471151797
O43399-6,0.0
O43399;O43399-5;O43399-7,0.7328773413492392
O43402,0.47617228146135443
O43405,0.13735025396519387
O43414;O43414-2;O43414-3,0.0
O43426,0.7631900828887614
O43427;O43427-2,0.7890192428633201
O43432-3,0.8521317960480564
O43447,0.7413462519568025
O43464,0.0
O43488,0.05853913657491501
O43491,0.0
O43493-3,0.0
O43504,0.0
O43508-2;O75888;O75888-2;O75888-4;O75888-5,0.9941487528158359
O43516;O43516-3,0.961752224635234
O43561;O43561-2;O43561-3,0.6221472861985936
O43572,0.0
O43583,0.35953372005208073
O43592,0.6780313492776223
O43597,0.0
O43598,0.0
O43610,0.0
O43615,0.5996149186222627
O43617,0.0
O43633,0.9214240555867754
O43639,0.0
O43665,0.9700299018548516
O43670;O43670-2;O43670-4,0.7035016815772293
O43674;O43674-2,0.0
O43676,0.8874517717845082
O43678,0.1695345916799793
O43681,0.0
