batch	k	factor_type
1	-0.00530296679806064	run_complete
2	0.00530296679806064	run_complete
1	-0.00530296679806064	run_available
2	0.00530296679806064	run_available
1	-0.00523751994458488	run_dual
2	0.00523751994458488	run_dual
1	0	plate_complete
2	0	plate_complete
3	0	plate_complete
1	0	plate_available
2	0	plate_available
3	0	plate_available
1	0	plate_dual
2	0	plate_dual
3	0	plate_dual
1	0.0119622372213755	legacy_run
2	-0.0119622372213755	legacy_run
1	-0.147205939021987	legacy_plate
2	0	legacy_plate
3	0.0161973018003376	legacy_plate
