Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.0185940377819787	0.00805556019903991	0.000196296858902519
Q96FJ2	0.0307016855831425	0.00518798776439198	0.00438078404249681
Q9H3S7	0.0105275345216974	0.025037991014941	0.00193549735790765
Q9Y2B0	0.00169069911262626	0.00300292185741201	0.00660643629941428
Q9UHD2	0.0249003953070258	0.035463346229231	0.0182836416602981
Q16706	0.0106450191915688	0.0155883900643686	0.033705781018587
A5YKK6	0.0216884884622036	0.0552593530990676	0.00173840843709007
Q14699	0.0302426920950595	0.0249798534984043	0.00196053669328181
Q96D71;Q96D71-3;Q96D71-4	0.0379606981685575	0.0542565294166753	0.00245289247540621
Q96CV9	0.0172375620050462	0.0147963168928536	0.00937706382965953
P42680	0.0301463205241964	0.0252074728290353	0.0145306121116567
Q14152	0.0316676782530288	0.0189691854857633	0.00312504183578905
Q8N3D4	0.00381802740781832	0.0288994326301317	0.00478477874064045
Q9P107	0.0101317479029216	0.0861146535011187	0.0167870412647059
Q8IUD2	0.0541524280781334	0.0639405481420001	0.00122705267772464
O60826	0.0721776559370214	0.130656513736904	0.00815171733016178
Q9Y4G6	0.0106201709363972	0.0112780877445584	0.000747808077613178
Q5VZ89;Q5VZ89-7	0.016704998925231	0.00571077896143013	5.0579848969338e-06
Q96AT9;Q96AT9-2	0.00322609988893409	0.00975654241983145	0.00138304303652013
O60271	0.0320629931713694	0.013485899497883	0.00938657220250908
P13796	0.00826178269886189	0.00123740076382589	0.000543120494279862
Q9Y2G3	0.023339319764377	0.0503910202199729	0.0136621403636545
Q9NPQ8;Q9NPQ8-4	0.0200382044834112	0.0076165445772845	0.00775484225294328
P51858	0.000449966968625386	0.000657732017736653	6.64747838453106e-06
Q99536	0.0175379957170044	0.00818343133121073	0.0271564008483341
O00399	0.0427143567720624	0.0277844258357192	0.000285449909671747
Q6P1N0	0.0374227545096893	0.0297545047260699	0.000941441438146459
Q96JH7	0.0499932756418621	0.126224000069	0.0136617837863584
Q9UKG1	0.0281232816171242	0.0240731403758002	0.0183300945157142
Q14789-2	0.0168514175854642	0.00811920162498479	0.000226333281146103
Q92963;Q92963-3	0.0238695237545514	0.0257334974452193	0.00734954660631577
Q9P260	0.00577280125120567	0.0428157586998754	6.22806512608685e-05
Q92854	0.0455714689502027	0.0100063890183618	0.0408525254892777
Q9Y2D4	0.000371967715257004	0.0472564273682255	0.000200222244051926
Q5VYK3	0.0232047750632627	0.00649659216437555	0.015688675834215
P02686;P02686-2	0.0300390239990634	0.0393579975539675	0.000451137923123899
Q13459	0.0259202911653772	0.0389728334187052	0.00370167089584635
Q13617-2	0.1004557228613	0.0349487661144721	0.0024392528363657
P49758;P49758-3;P49758-7;P49758-9	0.043056123062272	0.00292221948424283	0.0041127620084955
Q96M27	0.00670402710572138	0.0307261246723144	0.00442381268794112
Q7RTP6	0.0362674721843549	0.0270782802101715	1.22580662318832e-05
Q9ULP9;Q9ULP9-2	0.0249195735970192	0.0217306853746514	0.000379430510737494
Q8NFH8;Q8NFH8-4	0.0444787320559742	0.0481920523248136	0.00203240483717265
Q8TBC4;Q8TBC4-2	0.0103175731374348	0.000765514426499515	0.0033151948943547
O75340	0.0265044666036458	0.0484428575312537	0.0162905972539772
Q32P28	0.000678455227950301	0.0247538885319442	0.00521593500798602
Q07889	0.0380129401470329	0.057457262209127	1.07760242169725e-05
Q9BSJ2;Q9BSJ2-4	0.0181682742914071	0.0159266043700402	0.0053473805245432
P20020;P20020-1;P20020-4;P20020-6	0.00543481700366864	0.0153244481883845	0.0116780642009875
P63151	0.0304477120735077	0.0344485615428702	0.000588152921806116
Q8TF64	0.062132332048431	0.0455464077659266	0.00749619023002602
Q5GLZ8;Q5GLZ8-2	0.0160685014416052	0.0444269408171078	0.00176958003713377
Q9NR19;Q9NR19-2	0.0211497946363474	0.0386965093301512	2.28325985413149e-05
P25786;P25786-2	0.00387035170206927	0.0200608901758311	0.0116044578079898
Q14289-2	0.0398754181729512	0.0945082866698191	0.00613791692267526
O60674	0.0205911109876266	0.0193064353851384	0.000191128244780553
Q6WCQ1-2	0.0107537105065381	0.0544650235398192	0.00960674911198405
O75886	0.0100003629315945	0.16813151418129	0.0325715617946625
Q92888-3	0.0350314151884635	0.0335686171098802	0.00809356429803731
Q15052;Q15052-2	0.0290855851560161	0.0185207413993719	0.00364394546829148
P80217;P80217-2	0.0355111877632774	0.0263029523799082	0.00451469877116492
Q92608	0.0135721397491997	0.00802497758782672	0.00500075836705043
O00743;O00743-2	0.00384997388765848	0.0054788670666436	0.00475805429097219
Q9BYM8	0.019621382626935	0.05724667681143	0.0287556432818358
Q92783;Q92783-2	0.00592321226001109	0.0139478171921949	0.00505990575183437
P43490	0.00359619791990576	0.0135939463177551	0.0081112996003232
Q5T0N5-3;Q5T0N5-4	0.0558772623291092	0.0764866558558945	0.00649178185198243
Q9UBV8	0.0158089619535776	0.0163623200640848	0.0095418530808428
P42226	0.0288218208806324	0.0286540051430626	0.000169707084175263
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0.0177368329434013	0.0190406555142092	0.00193998223605773
Q7Z392	0.00503024685442837	0.0341764280184338	0.0041177859948218
Q08211	0.00997882350895817	0.00740682319630473	0.000375537715314306
Q8IWV7	0.0248104950341564	0.00101935794253974	0.00767492047077604
Q92538;Q92538-2;Q92538-3	0.0394809864759708	0.0851664596082112	0.00357140815572474
Q8IVT5	0.0684228302824747	0.0797139408758978	0.0255736938279544
Q9Y2I8;Q9Y2I8-2	0.006788525855728	0.0141176092876979	0.00130272823978245
Q9H6S0	0.0391634380491842	0.0714221879204433	0.0169297668763247
O75534;O75534-2;O75534-3;O75534-4	0.0823097520391143	0.0529506196466702	0.000208601799123667
Q9Y485	0.0211303316920755	0.0324861641115007	0.0097015616827301
O43592	0.00794406093752596	0.0365318867145762	0.00998443957340931
Q12768	0.0291678705943122	0.0457315287823055	0.00684893242554279
Q14139;Q14139-2	0.0395910650381974	0.0712263746386378	0.0117396793610254
Q9H270	0.143235342800444	0.026882245444228	0.00401021562954257
P30043	0.0352933911754516	0.102933524278077	0.0161466483772602
A6NDG6	0.0168797203010077	0.00912224053041627	0.00712492345379099
Q9BQS8;Q9BQS8-4	0.0585004349958422	0.0419463421316924	0.000437907949758068
Q8N6H7	0.00321731608171882	0.0830118409844258	0.0229511413214982
P23458	0.0285926522613502	0.13300163969675	0.0214611631048048
Q5SWX8	0.0343200849235886	0.0204881977854614	0.0139304821103897
P49619	0.0232206574274976	0.0487048839780316	0.000845278737851812
Q5JSL3	0.017777038387782	0.0241164818259542	0.0206088377641852
P19838;P19838-2	0.038063134023642	0.0349065760623859	0.000845128802386732
Q53GL0;Q53GL0-2	0.0271175642708436	0.0579105846764426	0.00152320302877189
Q8IUR0	0.0606822129047542	0.0205109768972531	0.0196353110972119
Q15147-4	0.00575182650150449	0.0383143962290192	7.2989498437487e-05
Q96CN4-2	0.0298277046351842	0.0125710748778306	0.00898180765132821
Q9P2D3	0.0169359684510362	0.00764313522551708	0.000627375870109833
Q5SGD2	0.0160520611123397	0.0264738513692063	0.00103601027029194
Q9P2E9	0.0287233339040774	0.0492175137362666	0.0146854628932032
Q7Z460-4	0.0387051503271243	0.0347597896301065	0.0189398603684423
Q15075	0.0102078941454906	0.0663639310627685	0.00244907144308468
Q9UPY6-2	0.0243582506859957	0.0211199196518087	7.76436008303749e-05
Q9BXJ9	0.00754935735971182	0.0131296671209525	0.00418295564409056
P04083	0.00169542433587342	0.0140316044688943	0.00324392594101605
Q9NX62	0.053042463878803	0.0151534221986984	0.0267299536568207
P25788;P25788-2	0.0457167981331935	0.0437428293961543	0.0139594017083944
P02545	0.0256880740525258	0.0287644466936759	0.00813580542453143
Q92625	0.0021015810421944	0.00627702436028587	0.00399564415587642
O75165	0.0427036336165865	0.0657711723244323	0.00722091431380744
Q68DH5	0.0187666216960061	0.0458063213450363	0.000114474631305302
P53041	0.00543342298060554	0.0303912787087273	2.56815301866336e-06
Q0D2K0;Q0D2K0-2	0.000729908245104585	0.00155000716546318	0.00820445602517402
P20073;P20073-2	0.0250899643130824	0.00480914705314515	0.016480784332784
Q15042	0.00622085113611451	0.0247602735857307	0.00109085387349759
P17174	0.00840698574098461	0.0480618157138454	0.00256971873778326
Q8IUR7;Q8IUR7-7	0.0383644967202401	0.0640555683519618	0.00377483938036971
Q13107	0.0587856692666677	0.0655385434571745	0.0129859527304384
Q15046	0.0293531257626904	0.00496862809518915	0.00763548857951628
P42229	0.0112195727720473	0.0429879747554199	0.0240064468708148
Q16775;Q16775-2	0.0673662715286762	0.016266591205728	0.00107836099102348
Q86TI2	0.0231188801852299	0.0229381145763461	0.010840059445625
P31040	0.0073500048064825	0.0129471325634842	0.000156013633379219
Q9Y6K5	0.0269089757118785	0.0213664269117353	0.00382859176193013
Q15276	0.0288381636777943	0.0350667365278483	0.00191158973927812
O14964	0.0100371716390098	0.00488481573025937	0.0115034280849003
Q8WVT3	0.0178160696263489	0.136605268773438	0.00354513598817797
P17655	0.00250013730838757	0.0314649911711693	0.0128922539697468
Q8IYI6	0.0403985022205005	0.0306696444473434	0.013679522748343
O75592	0.0647917730595419	0.0840255990587669	0.0159771448787118
P26440	0.00495716856986394	0.00340104655334764	0.000141516925269927
O15269	0.0301370990234261	0.0194901861322528	1.40773723817427e-05
P20339;P20339-2	0.0336856625145343	0.0191456068909223	0.00383629297252914
Q9H2G2;Q9H2G2-2	0.00591977488782216	0.0612553689804487	0.00534187329772721
O43760-2	0.0185620609071422	0.0179127969260862	3.66605279086792e-05
Q14258	0.0410882356492919	0.0473734164490952	0.00904136422076492
Q9BWS9	0.0189868676841546	0.0263861901318161	0.00136760668550446
Q8NBJ5	0.0677587376531144	0.0857978334418466	0.0110315369511635
Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	0.0119182068594914	0.0385988591879163	0.0115498651979374
Q9H3P7	0.013316051985943	0.0774369981233186	0.000249757884945599
P52788	0.0359340929633873	0.0524645173054613	0.00516442538137318
Q8N3P4;Q8N3P4-3	0.0158899814086443	0.024594321186764	0.00189779563465992
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	0.00748614821221893	0.000909508063302683	0.00969556465919639
