Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.00177949934326766	0.000814725204058396	0.00123807784903317
Q96FJ2	0.0132534281180715	0.037019107167454	0.000371238945105456
Q9H3S7	0.0188467033966853	0.0204973665091762	8.37445345794393e-05
Q9Y2B0	0.000910526859085622	0.0109912976359869	0.00750471191834321
Q9UHD2	0.00933780650683135	0.0235409519391102	0.0172545799906042
Q16706	0.00193957109051977	0.00136313764423357	0.0216705628367558
A5YKK6	0.00713180684511612	0.0424677077315651	0.00225069971000633
Q14699	0.0314669745603563	0.0156185363434049	0.00140258321983687
Q96D71;Q96D71-3;Q96D71-4	0.0154598721985416	0.0548630348552306	0.00302090713566289
Q96CV9	0.00537020044530367	0.000800513107007545	0.014603979244548
P42680	0.0314947559097634	0.0106557501539272	0.00281239794622852
Q14152	0.012668989935527	0.0130377458679862	0.00181517386184124
Q8N3D4	0.00219088466180169	0.0106860324018135	0.000416373042424519
Q9P107	0.00705479712427686	0.0768389422628088	0.020479225343996
Q8IUD2	0.0182007302761117	0.0438251213150411	0.000289074038391194
O60826	0.0443886268049473	0.108500035231029	0.0084237164299038
Q9Y4G6	0.0301996413953599	0.0290326499706395	0.000220029585667062
Q5VZ89;Q5VZ89-7	0.00487840803682263	0.000586471728670649	9.01280735634396e-05
Q96AT9;Q96AT9-2	0.00454575443648071	0.0214689113115414	4.07543218848534e-08
O60271	0.0106328753626164	0.008556092837103	0.00772919485692393
P13796	0.00836075082524493	0.0167629924788687	0.00143634101721153
Q9Y2G3	0.0105547906615345	0.0254342076800713	0.0100390757980054
Q9NPQ8;Q9NPQ8-4	0.00440586546669516	0.00368627837808219	0.00510158793667068
P51858	0.00658969344974361	0.00248697615327072	0.000332031475693535
Q99536	0.00677487861468095	0.00835839593459372	0.0193436555126879
O00399	0.0196798135258278	0.0131780127037422	4.07688978446997e-06
Q6P1N0	0.00970319414697757	0.0133010409059923	0.00522202717133514
Q96JH7	0.0264889999146994	0.117891488378459	0.0141261756533577
Q9UKG1	0.00674611561375561	0.00456002956230749	0.00906481740200152
Q14789-2	0.00633179621764621	0.00637284376760465	0.000582554832284752
Q92963;Q92963-3	0.00762165094545144	0.0214347430234911	0.0102829048497224
Q9P260	0.000333537292513531	0.0360480169540061	5.19458260517768e-05
Q92854	0.0248126487837857	0.00266228942537335	0.0352509481007475
Q9Y2D4	0.00405421187890331	0.0593813498083296	4.06495655553197e-06
Q5VYK3	0.00233540910564577	0.00352921928861463	0.00609943867680854
P02686;P02686-2	0.0037387544121724	0.0113926890466482	0.00748146783365998
Q13459	0.00274189145578679	0.0125515485385565	0.00013214224030411
Q13617-2	0.0532644952020967	0.0189272691314155	0.0024830646477038
P49758;P49758-3;P49758-7;P49758-9	0.0182516654600823	0.00847131736411102	0.00486528081731337
Q96M27	0.0207388298269004	0.0181022972325715	0.000106441774546444
Q7RTP6	0.0125279628811376	0.00919624631167064	2.59309569692436e-05
Q9ULP9;Q9ULP9-2	0.00388680598756704	0.000789706287914098	0.000418981599089332
Q8NFH8;Q8NFH8-4	0.0171022777321962	0.0202786230953418	0.00010128593680455
Q8TBC4;Q8TBC4-2	0.00181116235696398	0.00603839002109139	0.00378951471696197
O75340	0.0165132445397529	0.0335931861355226	0.00953318732952448
Q32P28	0.0120037506222541	0.020249511776844	0.00236212107319757
Q07889	0.0145352420234436	0.064044599654758	0.000173441054154615
Q9BSJ2;Q9BSJ2-4	0.00726534708616997	0.0142974588848757	0.00553365067469317
P20020;P20020-1;P20020-4;P20020-6	0.00744378086958415	0.0103847742615312	0.00726568074154923
P63151	0.0151439618443087	0.0397747365361944	0.000741404483740105
Q8TF64	0.0420757660715841	0.0366008129958349	0.00816588572369816
Q5GLZ8;Q5GLZ8-2	0.00781281251939805	0.0309655219881013	0.0020040206265076
Q9NR19;Q9NR19-2	0.00656112608575757	0.0366825439657916	1.57867702969734e-06
P25786;P25786-2	0.0145639690950146	0.00188574652183782	0.00613558811420385
Q14289-2	0.0182449651550317	0.0801443998234879	0.00471187768101189
O60674	0.00319437084988256	0.0128666869825519	0.000122874565033788
Q6WCQ1-2	0.0019957652595223	0.0374720005278271	0.00789274939375646
O75886	0.00393785136162696	0.140989843828089	0.0153152344085262
Q92888-3	0.0134644188669494	0.0199018931872939	0.00284880559002571
Q15052;Q15052-2	0.00678564287786155	0.0278213141077259	0.00226442403718054
P80217;P80217-2	0.013869467227872	0.0138888602696474	0.00273018554823169
Q92608	0.0161490815311272	0.00226674451376923	0.000485028285348325
O00743;O00743-2	0.000140803410695768	0.00288552051121856	0.00394823190509953
Q9BYM8	0.00969324121048907	0.0597490832852396	0.0237709562883545
Q92783;Q92783-2	0.00183340391035216	0.00796767163844881	0.000853944243107914
P43490	0.00435475390444261	0.0300350875844303	0.00397135464239067
Q5T0N5-3;Q5T0N5-4	0.0345448165117176	0.0562631944083306	0.00701119875855978
Q9UBV8	0.0243910200699826	0.0093367152954568	0.00383743829778626
P42226	0.0379087790505646	0.0120633807676852	0.000354055245943181
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0.01133204641706	0.0259590389892647	3.15420902754422e-06
Q7Z392	0.00193039645563121	0.0302821162807103	0.00315915535957508
Q08211	0.0496674003779675	0.00160197560173708	0.00141723188783745
Q8IWV7	0.00860489889587848	0.00622904329123874	0.0070034041330401
Q92538;Q92538-2;Q92538-3	0.0137680294694021	0.0629320629786809	0.00325359259873495
Q8IVT5	0.036626364426461	0.0631571112311001	0.0206316066652499
Q9Y2I8;Q9Y2I8-2	0.00316588715568983	0.00638544491031286	0.00101975108125674
Q9H6S0	0.0205399561885936	0.0678394411879227	0.0194950676885933
O75534;O75534-2;O75534-3;O75534-4	0.0550872553992747	0.0425264411070604	1.76212556577767e-06
Q9Y485	0.00366512680987334	0.0108425153184215	0.00941183195808059
O43592	0.000941931531384495	0.025715768236148	0.00819079155284075
Q12768	0.0100863791458761	0.0174500660392087	0.00468753986805942
Q14139;Q14139-2	0.014008561959066	0.0559095361185151	0.0115872799401211
Q9H270	0.0942396365688679	0.0212924145608402	0.00143773156292709
P30043	0.0618244657691862	0.12905583690235	0.0071690541913967
A6NDG6	0.0408182987452982	0.00642094850461005	0.00122860022744072
Q9BQS8;Q9BQS8-4	0.0338819637851544	0.0274095083969641	5.28743164178068e-05
Q8N6H7	0.0113826472183593	0.100295683308039	0.0247615631747899
P23458	0.0173054011060958	0.117898143351362	0.0152146182083164
Q5SWX8	0.0151521835100266	0.00418593053640518	0.0109036599801394
P49619	0.00841030679154577	0.0569445362623015	0.000592731211211701
Q5JSL3	0.00306211266564934	0.0135024910046844	0.0148698948546396
P19838;P19838-2	0.012690563081383	0.01394998661531	0.000102589354614698
Q53GL0;Q53GL0-2	0.0140371918824067	0.0436795561544164	2.10252027895506e-05
Q8IUR0	0.025448908130391	0.00730561681562747	0.0151607896377155
Q15147-4	0.00072324786817117	0.0283908289605623	9.5639855218746e-05
Q96CN4-2	0.0150985211075835	0.016317411863356	0.0101845071019948
Q9P2D3	0.0115762271069169	0.0300049988025805	0.000384925129018208
Q5SGD2	0.00632557919702118	0.0270720257225191	0.000333129925758506
Q9P2E9	0.0197707425148616	0.0365702789795819	0.0169340177732128
Q7Z460-4	0.0122120328842994	0.0309915574269777	0.0158629133842746
Q15075	0.00375538159821208	0.0559297704462835	0.00129275399131908
Q9UPY6-2	0.010581889237739	0.0356277397793862	0.000310019485361409
Q9BXJ9	0.00880047876485402	0.00781877323171296	0.00312278628732187
P04083	0.00337979760363151	0.0328232777328348	0.000285215787665493
Q9NX62	0.0190950831876478	0.00193972850848511	0.0151700636566633
P25788;P25788-2	0.022077591469189	0.0233649954378038	0.0116077255915393
P02545	0.00797425809462084	0.0138862719802356	0.00608487846225301
Q92625	0.0027052753943308	0.0081934821776779	0.00245322105050297
O75165	0.0176247124338839	0.0386232444332018	0.00290321902900017
Q68DH5	0.00368947336305876	0.0493486777018407	0.000268107124594055
P53041	0.0317746480574487	0.0520821897551159	0.00119832050739383
Q0D2K0;Q0D2K0-2	0.0184111790147809	0.0203482789141433	0.00321101039704427
P20073;P20073-2	0.0485760533846773	0.0130152800496651	0.00772012201442052
Q15042	0.000137024524776259	0.0339418485375608	0.000238261508343638
P17174	0.000966171513403488	0.0431897653548501	0.00047348907517127
Q8IUR7;Q8IUR7-7	0.017026164785111	0.0594709594239917	0.00320252428976346
Q13107	0.0242570017249807	0.043270816591023	0.0114415453611356
Q15046	0.00998092088405401	0.000676253036526957	0.00624169871998329
P42229	0.0050557033675471	0.0410952745494289	0.0289637015388107
Q16775;Q16775-2	0.0984158832144918	0.042165636240067	4.05903083975255e-05
Q86TI2	0.00698579913940805	0.0115393078752262	0.00822160952367264
P31040	0.0161987996084868	0.0266279028620402	0.000401033982379262
Q9Y6K5	0.0113692930302102	0.00640277271033844	0.00409939312657264
Q15276	0.0152292093616636	0.0230388856306423	0.000597940245932765
O14964	0.0221713448988077	0.000333053849937928	0.00589711522701615
Q8WVT3	0.00830704458643603	0.115126783030163	0.004034455803117
P17655	0.0134918762311531	0.00873404793882989	0.00463813445170143
Q8IYI6	0.0179784138249764	0.0189413341654485	0.0114214902891993
O75592	0.0416239860304161	0.0757742806830121	0.0143295089569366
P26440	0.000734938194607528	0.0109555714486454	0.000291702432893382
O15269	0.0124552782907595	0.00998750223784073	1.2697313846133e-05
P20339;P20339-2	0.0240184043655867	0.0076173513150304	0.000864238744348123
Q9H2G2;Q9H2G2-2	4.50431943452867e-05	0.0554267890663517	0.0023586797938838
O43760-2	0.00245494602697159	0.0123477086297696	0.00238303283410169
Q14258	0.0176347035010954	0.0294224951042165	0.00587073427634614
Q9BWS9	0.0161740863835898	0.030639101373115	0.00156832060235181
Q8NBJ5	0.0420479373614247	0.071813012235073	0.00781802700132333
Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	0.00195043531322665	0.0145013853426859	0.00579286295250801
Q9H3P7	0.0132708000171709	0.0822262327834874	0.000468195903302291
P52788	0.0165214288049696	0.0388215332871698	0.00550763247848276
Q8N3P4;Q8N3P4-3	0.00720126285861427	0.0113333220845672	0.000620739593694969
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	0.000328694846277773	0.015672235151322	0.00274507047066902
Q96B97	0.00407254565308204	0.0164952456277483	7.04536763376841e-05
Q9H2U2-2	0.0186466162306597	0.0491048453498737	2.15382548719412e-08
Q92616	0.0203291363190373	0.0203698552584951	0.000610295544137854
O94915	0.00699943033186442	0.0556577700821191	0.000532688018202016
Q8TD16	0.00873656720244338	0.0264320209911161	0.00375390641564865
Q96CW5	0.0187236843965879	0.0671729639126852	0.000952838947524749
B0I1T2	0.0453460775560574	0.0122693519915017	0.00763627641237983
P14927	0.0107946439811768	0.0351754447565345	0.00660555755565319
Q9Y4D8	0.00437256164353668	0.0665640754787379	0.00353003867850252
Q15057	0.00172717489631231	0.0101812818622011	0.0085082466785064
Q06124-1	0.0099726753366892	0.019117689996236	0.00628914474890014
Q92734;Q92734-2	0.0331799166218614	0.0204133361741148	0.000165535760902548
Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6	0.00262618458722611	0.0170131185555493	0.00780395837413943
Q8NCG7	0.0188429738588476	0.00469942603917261	0.0102321695402435
Q9UKW4	0.00212453227460168	0.0140442622194506	0.000449836827313758
P42345	0.00718552020860836	0.0527801572184527	0.000607223595998822
P28290	0.0133564088030306	0.00439042499037476	0.00327796800892758
Q13596	0.0142123007360607	0.0848908243884691	0.000888653265530734
Q05823	0.0386652754108222	0.0247468601083147	0.0100805478843566
Q6PKG0	0.0509675629150593	0.0652989146294052	7.31783104062733e-05
O43314;O43314-2	0.0173796065668492	0.0147440318717024	0.0142376752012274
Q96BY6-3	0.00626029413916849	0.01578507345625	0.0296272014846355
Q5UE93	0.00286173850180134	0.00237455951148952	0.00631531471986398
Q93100-4	0.0181587899363373	0.0379377595309695	0.00603508211815988
Q9BSQ5;Q9BSQ5-3	0.0115878860098498	0.00798499775894829	0.0149425254703317
P27448-8	0.00984624755188708	0.0603556439564197	0.0246070323685361
Q04656;Q04656-2;Q04656-3;Q04656-5	0.00587545481562298	0.0310511428192659	0.00970464996664455
Q5TDH0;Q5TDH0-3	0.00643576107335926	0.0192780577582686	0.000802241238746185
Q6NUQ1	0.0180520894256229	0.0117624594149831	0.00613399987640694
Q93009;Q93009-3	0.0183825353135931	0.00564546775260352	0.00225864612092358
Q7Z3U7;Q7Z3U7-5	0.000389261563294453	0.0182490807945386	0.000649547421297605
Q8NDB2	0.0067807084503808	0.053536663639454	0.00174212997383471
Q6UX71	0.00219649516596259	0.0473526989866975	0.00231946032349129
O15027;O15027-2;O15027-3;O15027-4;O15027-5	0.0236669572906037	0.0561638279620941	7.15210639543186e-05
Q9UNE7	0.00829553278334379	0.0144767613868902	8.04399569596559e-10
Q00341	0.00155707006264688	0.00149375948825951	0.00191928233476067
O60506-3	0.021767245356263	0.0134312744288219	0.00703141778209049
Q6NXE6;Q6NXE6-2	0.0213629627331277	0.0197078310208593	0.0477448692802218
Q8N335	0.00468847646471289	0.00742142412615181	3.97955593909369e-07
Q9BT09	0.000912531911722215	0.0537119430006634	0.00249054192644226
Q567U6	0.000312164363076692	0.0334334719042861	0.00521535325274176
Q7KZI7-15;Q7KZI7-16	0.000907955333468506	0.0153818339915204	3.44979425290756e-05
Q15293	0.00113949315688182	0.00944572198160528	0.0110530166300428
Q9P2W9	0.0189386869071063	0.0630710395518943	0.0241213270177596
P69849;Q15155;Q5JPE7;Q5JPE7-2	0.00418885316946798	0.0169739597195056	0.00583728786026768
Q8TEW0;Q8TEW0-2	0.0196126724708455	0.0285940220354519	0.00300962298749154
P00352	0.00892030018839672	0.016997613417819	0.00994913766025797
Q12959-2;Q12959-4	0.00283342131557194	0.00965505743369537	0.00398990464965685
Q86X10-3	0.019754987885333	0.00796813295719726	0.0157571347212488
Q9H2D6-5	0.0747005671164602	0.00807106729353402	0.00030544217287682
Q8IY17;Q8IY17-3	0.0357004655563775	0.0189436172746178	0.000273666894775798
Q7Z401;Q7Z401-2	0.0017137024251614	0.00985681026962731	0.00281376437115781
O15031	0.0217472345197138	0.0370016023095795	0.0109249877389613
Q5VWZ2	0.00172632489891339	0.0185967706725599	0.000985647334780773
Q9Y2L9-2	0.0156596312282395	0.0233525461338634	0.0148336091191407
Q9Y296	0.00762299467652241	0.0343751693436152	0.00278050071163631
Q99570	0.0115970112156513	0.0202315650090822	0.017543709261941
Q8IVW4	0.0210852293829223	0.0109579846552523	0.00926668230215565
Q8N4C8	0.00127020473734931	0.00458477531858291	0.000678219121747859
Q5JQS6	0.0214410517171245	0.0155715972892208	0.00687705989291305
Q9NRA1	0.0130285526159373	0.0028697992905825	0.00293054005782719
Q9BY43-2	0.000144072039694636	0.000219945832311603	0.00756949139557785
Q9H4B6	0.0157288750931491	0.0202565515356614	0.00116491863252936
Q9UBP0;Q9UBP0-3	0.00160565951732907	0.00272072497586094	2.64833130101038e-05
Q86VS8	0.0274061431030308	0.0560379519330671	0.00024986782981872
O60645	0.00161507860497056	0.0340509203878795	0.0038424669864695
Q5VIR6	0.0301466921951629	0.00185277749971074	0.0140943516225778
Q99959-2	0.00723357438308892	0.0560700009300581	0.00226829564040742
Q99873;Q99873-2;Q99873-3	0.000621689022208726	0.0205365460500764	0.0163012675851648
Q8IV38	0.00730942190221624	0.0485664455962422	0.0117637957663396
P08133	0.00941278371307022	0.0268749984056373	0.000795712647377841
Q9UMX0	0.0114059590397705	0.0554439415920617	0.000807392498737268
Q99518	0.00922159433737963	0.0771735933438393	2.97331644403719e-06
Q99576-3	0.000390992403770039	0.0083738721174164	0.0134329836386404
O95340;O95340-2	0.019495718775649	0.00408171064957067	0.00159405832522973
Q99418;Q99418-2	0.0105555811242068	0.0468782417663616	0.0093808629252457
Q63HN8	8.85566525501161e-05	0.0456412012143954	0.00366459633147099
Q8IUG5;Q8IUG5-3	0.008592945044124	0.00723846891520181	0.00124043204442526
Q70UQ0	0.00696368512370822	0.0112367532330338	0.00284115462851285
Q9UHD9	0.00529905476883396	0.0145599529777298	0.00943684881483612
Q9BZ72	0.00532668530704415	0.0166166014256901	0.00476772919359075
Q08426	0.00489958380516541	0.00466180613816907	0.000253857580420016
Q9Y6D5	0.0072104359714463	0.119130067183853	0.00419331748545533
O14818	0.0130480249520688	0.0319555601443371	0.0173367784448849
Q96Q05;Q96Q05-2;Q96Q05-3	0.0134432319488183	0.0627717389429915	0.0121772156717401
P28907	1.13422110166078e-05	0.0072367031123409	0.0017307108338268
P19474	1.30871480058161e-05	0.0153915980038723	0.0128407953390078
Q9Y3X0	0.0132326845840354	0.0260671567607119	0.0184487045895695
Q9NZB2;Q9NZB2-6	0.001276470443837	0.00530851743571711	0.00233481655965705
