Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.0198853912230937	0.00805556019903977	0.000196296858902664
Q96FJ2	0.0322797775038238	0.00518798776439169	0.00438078404249637
Q9H3S7	0.0106732671063555	0.0250379910149408	0.00193549735790765
Q9Y2B0	0.00201051467652544	0.00300292185741217	0.00660643629941428
Q9UHD2	0.0261440232163902	0.035463346229231	0.0182836416602983
Q16706	0.0117797083720948	0.0155883900643688	0.0337057810185871
A5YKK6	0.022756232658226	0.0552593530990675	0.0017384084370899
Q14699	0.0308715220975198	0.0249798534984043	0.00196053669328181
Q96D71;Q96D71-3;Q96D71-4	0.0395338601394719	0.0542565294166752	0.00245289247540607
Q96CV9	0.0182310587837807	0.0147963168928534	0.00937706382965941
P42680	0.0299908402637921	0.0252074728290355	0.0145306121116569
Q14152	0.0328538053701462	0.0189691854857633	0.00312504183578919
Q8N3D4	0.00439554611993356	0.0288994326301318	0.00478477874064046
Q9P107	0.0107758200870574	0.0861146535011186	0.0167870412647055
Q8IUD2	0.0563077872716706	0.0639405481420001	0.00122705267772464
O60826	0.0738786469180287	0.130656513736904	0.00815171733016178
Q9Y4G6	0.00981351011673281	0.0112780877445584	0.000747808077612968
Q5VZ89;Q5VZ89-7	0.0176283465855776	0.00571077896143001	5.0579848970522e-06
Q96AT9;Q96AT9-2	0.00344910660966148	0.00975654241983163	0.00138304303652049
O60271	0.0333030954863352	0.013485899497883	0.00938657220250908
P13796	0.00907327431922387	0.00123740076382608	0.000543120494279679
Q9Y2G3	0.0243809926371684	0.0503910202199729	0.0136621403636547
Q9NPQ8;Q9NPQ8-4	0.0209598973288912	0.00761654457728451	0.00775484225294328
P51858	0.000444814568708735	0.00065773201773691	6.64747838465966e-06
Q99536	0.0186169808420413	0.00818343133121059	0.0271564008483344
O00399	0.0442733041057412	0.0277844258357194	0.000285449909671946
Q6P1N0	0.0390494501140931	0.0297545047260701	0.000941441438146459
Q96JH7	0.0514811930817443	0.126224000069	0.0136617837863584
Q9UKG1	0.0295245952833433	0.0240731403758004	0.018330094515714
Q14789-2	0.0177358332173825	0.00811920162498497	0.000226333281146286
Q92963;Q92963-3	0.0252536679837085	0.0257334974452191	0.00734954660631577
Q9P260	0.00631450853099663	0.0428157586998753	6.22806512610483e-05
Q92854	0.0471164407185104	0.010006389018362	0.0408525254892777
Q9Y2D4	0.000439916487591554	0.0472564273682255	0.000200222244051926
Q5VYK3	0.0245719123834643	0.00649659216437555	0.0156886758342151
P02686;P02686-2	0.0318090574030784	0.0393579975539675	0.000451137923123899
Q13459	0.0274091622443601	0.0389728334187052	0.00370167089584635
