Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.0553578279859764	0.0126302020879392	0.000323512209944498
Q96FJ2	0.0956950816232481	0.00399659806994199	0.00500285784602399
Q9H3S7	0.0089680579648598	0.0304569705763013	0.00247663898190653
Q9Y2B0	0.0224557272340509	0.0021280515062864	0.00581490326094033
Q9UHD2	0.0640223136375913	0.0412876860986808	0.0192088447480722
Q16706	0.051544766207003	0.0228516082462776	0.0342172003155924
A5YKK6	0.0569981519265098	0.0631709545602691	0.00116057712780258
Q14699	0.0317341647844648	0.0295711020354097	0.00294924017240331
Q96D71;Q96D71-3;Q96D71-4	0.0965981883773172	0.0640980929024571	0.00110455085240058
Q96CV9	0.0663558371250214	0.0193960669884449	0.00826577877835454
P42680	0.00979532817181298	0.0330561555559527	0.0152419155617809
Q14152	0.0663180165309719	0.0243133594042548	0.00373331321650594
Q8N3D4	0.0345562786912108	0.0368167128113192	0.00518095858536074
Q9P107	0.031103034483644	0.0943872863562054	0.018689271396982
Q8IUD2	0.129026702242461	0.0778997543234483	0.000794411345053377
O60826	0.107295261714848	0.140369222254694	0.00956805185880073
Q9Y4G6	0.0074930204655621	0.0116566216046674	0.00112015526588953
Q5VZ89;Q5VZ89-7	0.0586927075129004	0.0084135536125992	2.73493140669685e-05
Q96AT9;Q96AT9-2	0.0257339543659303	0.00760548767531063	0.00200624446034234
O60271	0.0657930268194833	0.0176834514805003	0.0112039269503616
P13796	0.0377458304078552	0.00429216732666939	0.000834510055977538
Q9Y2G3	0.0409936815182817	0.0593463699057539	0.0153966073114047
Q9NPQ8;Q9NPQ8-4	0.0596641125721654	0.0109435690516367	0.00877901976982479
P51858	0.01193999711791	0.00149602838228082	0.000218567146490763
Q99536	0.0436488663627879	0.013535416097289	0.0286264804959884
O00399	0.0893994855330993	0.0347876141678007	0.000975099946926492
Q6P1N0	0.0988219251182033	0.0383799025280137	0.000455002519799718
Q96JH7	0.0923061897680855	0.135284050111818	0.0150627313268004
Q9UKG1	0.0847307612695579	0.0329049925216906	0.0198726786566359
Q14789-2	0.0426634909403122	0.0122410012574186	0.000320803952111246
Q92963;Q92963-3	0.0749330430253077	0.0314542830341384	0.00849327106940928
Q9P260	0.0329311426700686	0.0503446631518984	0.000268535918056353
Q92854	0.0850169151976065	0.0145614104544873	0.0431204747314266
Q9Y2D4	0.0166395807211867	0.0476524760886182	5.69320144854251e-05
Q5VYK3	0.0676105006721232	0.00910501108747957	0.0163998233888413
P02686;P02686-2	0.0834547256048143	0.0457449359644171	0.000244993160880607
Q13459	0.0792447636360428	0.0499838940128823	0.00436717917343989
Q13617-2	0.153824125920571	0.0424809256171177	0.00325701244387228
P49758;P49758-3;P49758-7;P49758-9	0.0996443977865432	0.00536919433649211	0.00580720477783119
Q96M27	0.023134705561979	0.0337718875942415	0.00487943676417092
Q7RTP6	0.090279704047514	0.0337219392042067	4.0160323961304e-05
Q9ULP9;Q9ULP9-2	0.0683103741555829	0.0272760406648287	0.000288067089329887
Q8NFH8;Q8NFH8-4	0.0897885977707631	0.056797807360602	0.00256551094537615
Q8TBC4;Q8TBC4-2	0.0354038071136514	4.55632693109747e-05	0.00481701833540682
O75340	0.0399175772319923	0.058328657004578	0.0172736349828043
Q32P28	0.00929435852582623	0.0309958683824923	0.00559463412223573
Q07889	0.102020694447867	0.0647472268543839	0.000165666635942382
