Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.00177949934326766	0.000814725204058395	0.00386820319138645
Q96FJ2	0.0132534281180715	0.0370191071674539	0.0226482477000691
Q9H3S7	0.0188467033966853	0.020497366509176	0.0086727749016403
Q9Y2B0	0.000910526859085623	0.0109912976359869	0.000326600034612621
Q9UHD2	0.00933780650683153	0.0235409519391102	0.0412440324238184
Q16706	0.00193957109051988	0.00136313764423368	0.0712778381250006
A5YKK6	0.00713180684511611	0.0424677077315651	0.000835369034788142
Q14699	0.0314669745603563	0.015618536343405	0.0138416633704695
Q96D71;Q96D71-3;Q96D71-4	0.0154598721985418	0.0548630348552306	0.00164602695110275
Q96CV9	0.00537020044530367	0.000800513107007545	0.00149001727221554
P42680	0.0314947559097635	0.0106557501539275	0.0192139959385306
Q14152	0.0126689899355271	0.0130377458679864	0.012867470955855
Q8N3D4	0.00219088466180169	0.0106860324018135	0.0119245831574463
Q9P107	0.00705479712427705	0.0768389422628087	0.0454380751635962
Q8IUD2	0.0182007302761115	0.0438251213150411	0.00580786285838236
O60826	0.0443886268049472	0.108500035231029	0.0263025579669711
Q9Y4G6	0.0301996413953599	0.0290326499706395	0.00833626546625718
Q5VZ89;Q5VZ89-7	0.00487840803682243	0.000586471728670444	0.0069276576478283
Q96AT9;Q96AT9-2	0.00454575443648054	0.0214689113115412	0.00543039657935185
O60271	0.0106328753626164	0.00855609283710318	0.0266114725086732
P13796	0.00836075082524472	0.0167629924788685	0.00734860210416327
Q9Y2G3	0.0105547906615347	0.0254342076800714	0.0370514006192807
Q9NPQ8;Q9NPQ8-4	0.00440586546669536	0.00368627837808218	0.0224903020146061
P51858	0.00658969344974373	0.00248697615327071	0.0106882783857343
Q99536	0.00677487861468095	0.00835839593459391	0.0617303437913725
O00399	0.0196798135258282	0.0131780127037422	0.00694081691051546
Q6P1N0	0.00970319414697737	0.0133010409059923	0.00175482608499458
Q96JH7	0.0264889999146996	0.117891488378459	0.0372163953129294
Q9UKG1	0.00674611561375549	0.00456002956230737	0.0343031639468706
Q14789-2	0.00633179621764638	0.00637284376760465	0.00925639591634428
Q92963;Q92963-3	0.00762165094545171	0.0214347430234913	0.0355083335026048
Q9P260	0.000333537292513212	0.036048016954006	0.00580928540604045
Q92854	0.0248126487837857	0.00266228942537335	0.0694006462808091
Q9Y2D4	0.00405421187890313	0.0593813498083294	0.00511367582584849
Q5VYK3	0.00233540910564558	0.00352921928861482	0.0250685955349607
P02686;P02686-2	0.00373875441217261	0.011392689046648	0.00119086505139109
Q13459	0.00274189145578668	0.0125515485385565	0.0099583198613987
Q13617-2	0.0532644952020967	0.0189272691314154	0.0169317290423503
P49758;P49758-3;P49758-7;P49758-9	0.0182516654600823	0.0084713173641112	0.0208585576988897
Q96M27	0.0207388298269001	0.0181022972325715	0.0204566120591215
Q7RTP6	0.0125279628811376	0.00919624631167064	0.00596984490992436
Q9ULP9;Q9ULP9-2	0.00388680598756682	0.00078970628791388	0.00968114082189164
Q8NFH8;Q8NFH8-4	0.017102277732196	0.0202786230953418	0.00931391989625128
Q8TBC4;Q8TBC4-2	0.00181116235696382	0.00603839002109123	0.0174337484409137
O75340	0.0165132445397531	0.0335931861355227	0.0366016570911281
