Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.00177949934326752	0.000814725204058396	0.00237873824202679
Q96FJ2	0.0132534281180716	0.0370191071674539	0.0175985719868402
Q9H3S7	0.0188467033966851	0.0204973665091762	0.00665745521566005
Q9Y2B0	0.000910526859085622	0.0109912976359869	0.000761160761821644
Q9UHD2	0.00933780650683172	0.0235409519391102	0.0373778137520007
Q16706	0.00193957109051988	0.00136313764423368	0.0630039105963838
A5YKK6	0.00713180684511611	0.0424677077315652	0.000336581510038037
Q14699	0.0314669745603562	0.0156185363434049	0.0113767172154802
Q96D71;Q96D71-3;Q96D71-4	0.0154598721985414	0.0548630348552306	0.000749024970610833
Q96CV9	0.00537020044530367	0.000800513107007332	0.00250587220113943
P42680	0.0314947559097634	0.0106557501539272	0.016108814932738
Q14152	0.0126689899355273	0.0130377458679865	0.010757590107193
Q8N3D4	0.00219088466180169	0.0106860324018135	0.00941450710347063
Q9P107	0.00705479712427725	0.076838942262809	0.0414705461231651
Q8IUD2	0.0182007302761115	0.043825121315041	0.00401753015910516
O60826	0.0443886268049472	0.108500035231029	0.0232768862541335
Q9Y4G6	0.0301996413953601	0.0290326499706395	0.00652775331274943
Q5VZ89;Q5VZ89-7	0.00487840803682243	0.000586471728670649	0.00534215737425108
Q96AT9;Q96AT9-2	0.00454575443648071	0.0214689113115414	0.00404161992270789
O60271	0.0106328753626165	0.00855609283710301	0.0233685455710979
P13796	0.00836075082524493	0.0167629924788687	0.00472466386775515
Q9Y2G3	0.0105547906615345	0.0254342076800713	0.0323890090648357
Q9NPQ8;Q9NPQ8-4	0.00440586546669516	0.00368627837808198	0.0193880450249247
P51858	0.00658969344974373	0.00248697615327059	0.00840900955805562
Q99536	0.00677487861468095	0.00835839593459391	0.0546569345327617
O00399	0.019679813525828	0.0131780127037422	0.00520315478500164
Q6P1N0	0.00970319414697737	0.0133010409059923	0.000681344304323332
Q96JH7	0.0264889999146994	0.117891488378459	0.0334302612511176
Q9UKG1	0.00674611561375573	0.00456002956230761	0.029924917920499
Q14789-2	0.00633179621764604	0.00637284376760448	0.00744910893787976
Q92963;Q92963-3	0.00762165094545171	0.0214347430234911	0.0311932545444537
Q9P260	0.000333537292513372	0.036048016954006	0.00445139283996369
Q92854	0.0248126487837858	0.00266228942537323	0.0641232315925372
Q9Y2D4	0.00405421187890314	0.0593813498083296	0.00376815640714874
Q5VYK3	0.00233540910564577	0.00352921928861462	0.0217224332533746
P02686;P02686-2	0.0037387544121724	0.0113926890466482	0.000314954032524433
Q13459	0.00274189145578679	0.0125515485385566	0.00768687080147355
Q13617-2	0.0532644952020969	0.0189272691314155	0.0141931836744533
P49758;P49758-3;P49758-7;P49758-9	0.0182516654600823	0.0084713173641112	0.0180139799698447
Q96M27	0.0207388298269004	0.0181022972325717	0.0156172870684896
Q7RTP6	0.0125279628811376	0.00919624631167063	0.00434711930277942
Q9ULP9;Q9ULP9-2	0.00388680598756704	0.000789706287914098	0.00673909012671257
Q8NFH8;Q8NFH8-4	0.0171022777321962	0.0202786230953418	0.00716406146009329
Q8TBC4;Q8TBC4-2	0.00181116235696398	0.00603839002109139	0.0149782656229923
O75340	0.016513244539753	0.0335931861355227	0.03190176042738
Q32P28	0.0120037506222541	0.020249511776844	0.0129165952684757
Q07889	0.0145352420234436	0.0640445996547579	0.00930640407445896
Q9BSJ2;Q9BSJ2-4	0.00726534708617011	0.0142974588848757	0.0171208274803107
P20020;P20020-1;P20020-4;P20020-6	0.00744378086958414	0.0103847742615312	0.0286964818204064
P63151	0.0151439618443087	0.0397747365361942	0.00848884884526958
Q8TF64	0.0420757660715841	0.0366008129958347	0.0220984051043771
Q5GLZ8;Q5GLZ8-2	0.0078128125193982	0.0309655219881014	0.0104156583095252
Q9NR19;Q9NR19-2	0.00656112608575757	0.0366825439657916	0.00411968567491308
P25786;P25786-2	0.0145639690950144	0.00188574652183762	0.0221153496791681
Q14289-2	0.0182449651550317	0.0801443998234879	0.0186521333105721
O60674	0.00319437084988256	0.0128666869825519	0.00284941030655919
Q6WCQ1-2	0.0019957652595223	0.0374720005278271	0.0231367401667668
O75886	0.00393785136162696	0.140989843828089	0.042942833453972
Q92888-3	0.0134644188669498	0.0199018931872942	0.0161914294689497
Q15052;Q15052-2	0.00678564287786155	0.0278213141077259	0.0146044565702823
P80217;P80217-2	0.0138694672278724	0.0138888602696476	0.0139134142328417
Q92608	0.016149081531127	0.00226674451376943	0.0143597786386076
O00743;O00743-2	0.000140803410695768	0.00288552051121841	0.0150044273187315
Q9BYM8	0.00969324121048893	0.0597490832852397	0.0527746317157592
Q92783;Q92783-2	0.00183340391035235	0.007967671638449	0.0096494644060666
P43490	0.00435475390444261	0.0300350875844306	0.0181295001778789
Q5T0N5-3;Q5T0N5-4	0.0345448165117177	0.0562631944083304	0.0203669152823234
Q9UBV8	0.0243910200699828	0.00933671529545695	0.0215308534897096
P42226	0.0379087790505646	0.012063380767685	0.00202417759854999
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0.01133204641706	0.0259590389892647	0.00624679764497155
Q7Z392	0.00193039645563101	0.0302821162807101	6.55995887875538e-05
Q08211	0.0496674003779675	0.00160197560173707	0.00213854524598456
Q8IWV7	0.00860489889587847	0.00622904329123857	0.0208686497276208
Q92538;Q92538-2;Q92538-3	0.0137680294694018	0.0629320629786807	0.0156532082400089
Q8IVT5	0.0366263644264609	0.0631571112311	0.0419688084365447
Q9Y2I8;Q9Y2I8-2	0.00316588715568983	0.00638544491031305	0.00946459541921207
Q9H6S0	0.0205399561885935	0.0678394411879227	0.0464540475489968
O75534;O75534-2;O75534-3;O75534-4	0.055087255399275	0.0425264411070605	0.00423347469514518
Q9Y485	0.00366512680987334	0.0108425153184215	0.000565566309529963
O43592	0.000941931531384494	0.025715768236148	0.0231495212777403
Q12768	0.0100863791458761	0.0174500660392087	0.016002307402033
Q14139;Q14139-2	0.0140085619590659	0.0559095361185152	0.0302229394844645
Q9H270	0.0942396365688678	0.0212924145608401	0.0126762776510597
P30043	0.0618244657691862	0.12905583690235	0.022205525257313
A6NDG6	0.0408182987452984	0.00642094850461004	0.0223429782503398
Q9BQS8;Q9BQS8-4	0.0338819637851541	0.0274095083969641	0.00322477491226292
Q8N6H7	0.0113826472183593	0.100295683308039	0.0516249213369972
P23458	0.0173054011060956	0.117898143351362	0.0362779934656599
Q5SWX8	0.0151521835100269	0.00418593053640517	0.0349102262268856
P49619	0.00841030679154607	0.0569445362623017	0.00715736477365722
Q5JSL3	0.00306211266564952	0.0135024910046846	0.0350031211487034
P19838;P19838-2	0.012690563081383	0.01394998661531	0.00526583803802877
Q53GL0;Q53GL0-2	0.0140371918824067	0.0436795561544166	0.00473572706736758
Q8IUR0	0.0254489081303912	0.00730561681562747	0.0362848288244732
Q15147-4	0.000723247868170712	0.0283908289605622	0.00471100439766453
Q96CN4-2	0.0150985211075837	0.0163174118633564	0.0218744603957403
Q9P2D3	0.0115762271069166	0.0300049988025803	0.00256258522323342
Q5SGD2	0.00632557919702098	0.0270720257225191	0.00765486485913173
Q9P2E9	0.0197707425148615	0.036570278979582	0.0333982588574342
Q7Z460-4	0.0122120328842996	0.0309915574269777	0.0369588386720037
Q15075	0.00375538159821208	0.0559297704462835	0.00870225887478459
Q9UPY6-2	0.0105818892377388	0.0356277397793862	0.00721759339434953
Q9BXJ9	0.00880047876485414	0.00781877323171308	0.0117526174253902
P04083	0.00337979760363151	0.0328232777328348	0.00740429698775353
Q9NX62	0.0190950831876476	0.00193972850848511	0.0428360073671526
P25788;P25788-2	0.0220775914691893	0.0233649954378038	0.0307783330705758
P02545	0.00797425809462086	0.0138862719802356	0.0196973725155518
Q92625	0.0027052753943308	0.0081934821776779	0.0123200397786046
O75165	0.0176247124338839	0.0386232444332018	0.0158873027703301
Q68DH5	0.00368947336305889	0.0493486777018405	0.00393349492106097
P53041	0.0317746480574486	0.0520821897551158	0.0021781078542968
Q0D2K0;Q0D2K0-2	0.0184111790147811	0.0203482789141435	0.0190381308975332
P20073;P20073-2	0.0485760533846771	0.0130152800496652	0.0227463216132858
Q15042	0.000137024524776259	0.0339418485375608	0.00627511066244956
P17174	0.000966171513403487	0.0431897653548502	0.00858708733494122
Q8IUR7;Q8IUR7-7	0.0170261647851109	0.0594709594239916	0.0143731566617765
Q13107	0.0242570017249805	0.0432708165910231	0.0308947325315405
Q15046	0.00998092088405386	0.000676253036526807	0.0187806174922785
P42229	0.00505570336754729	0.0410952745494289	0.0539708990543606
Q16775;Q16775-2	0.0984158832144915	0.042165636240067	0.00329908534816327
Q86TI2	0.00698579913940767	0.0115393078752262	0.0235889580380507
P31040	0.0161987996084864	0.0266279028620401	0.0019046930135877
Q9Y6K5	0.01136929303021	0.00640277271033828	0.0151803775540003
Q15276	0.0152292093616639	0.0230388856306423	0.00637826747058761
O14964	0.0221713448988073	0.000333053849937778	0.0190742433223347
Q8WVT3	0.00830704458643603	0.115126783030163	0.0153411518466468
P17655	0.0134918762311531	0.00873404793882989	0.0266306417101217
Q8IYI6	0.0179784138249762	0.0189413341654485	0.0280469097196001
O75592	0.0416239860304159	0.0757742806830119	0.0340737842441633
P26440	0.000734938194607808	0.0109555714486455	0.00163452592384128
O15269	0.0124552782907595	0.00998750223784073	0.00433772423974717
P20339;P20339-2	0.0240184043655865	0.00761735131503023	0.0136482696581269
Q9H2G2;Q9H2G2-2	4.50431943452867e-05	0.0554267890663517	0.0117531371987185
O43760-2	0.00245494602697159	0.0123477086297695	0.000770321284163811
Q14258	0.0176347035010954	0.0294224951042165	0.0189708865274257
Q9BWS9	0.01617408638359	0.0306391013731151	0.0179402665741515
Q8NBJ5	0.0420479373614247	0.0718130122350732	0.0244753442218555
Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	0.00195043531322677	0.0145013853426858	0.0232284616181916
Q9H3P7	0.0132708000171709	0.0822262327834876	0.00660142073313761
P52788	0.0165214288049695	0.0388215332871698	0.0162912641100555
Q8N3P4;Q8N3P4-3	0.00720126285861456	0.0113333220845675	0.00259256555285107
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	0.000328694846277773	0.015672235151322	0.0147565813192073
Q96B97	0.00407254565308204	0.0164952456277481	0.00514869496475939
Q9H2U2-2	0.0186466162306597	0.0491048453498741	0.00530858585993935
Q92616	0.0203291363190374	0.0203698552584951	0.00298047152354762
O94915	0.0069994303318643	0.0556577700821191	0.000961971533149206
Q8TD16	0.00873656720244338	0.0264320209911161	0.0158177122814419
Q96CW5	0.0187236843965877	0.0671729639126852	0.000808388674094604
B0I1T2	0.0453460775560581	0.0122693519915019	5.99395716255174e-05
P14927	0.0107946439811766	0.0351754447565345	0.0191285556692588
Q9Y4D8	0.0043725616435369	0.0665640754787381	0.0164816220254036
Q15057	0.00172717489631217	0.0101812818622009	0.0218010808160754
Q06124-1	0.00997267533668937	0.0191176899962361	0.0198621112051609
Q92734;Q92734-2	0.0331799166218615	0.020413336174115	0.00753866108088681
Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6	0.00262618458722611	0.0170131185555493	0.0230973509323927
Q8NCG7	0.0188429738588476	0.00469942603917261	0.029034861943315
Q9UKW4	0.00212453227460168	0.0140442622194506	0.00124137939250872
P42345	0.00718552020860854	0.0527801572184529	0.00812210381988546
P28290	0.0133564088030308	0.00439042499037492	0.0143999800622302
Q13596	0.0142123007360609	0.0848908243884693	0.00734278386598373
Q05823	0.038665275410822	0.0247468601083145	0.0253849451458028
Q6PKG0	0.0509675629150595	0.0652989146294053	0.00589560200251993
O43314;O43314-2	0.0173796065668492	0.0147440318717023	0.0385852460201834
Q96BY6-3	0.00626029413916848	0.0157850734562498	0.0542409023002198
Q5UE93	0.00286173850180134	0.00237455951148935	0.000219909115468105
Q93100-4	0.0181587899363373	0.0379377595309697	0.0201074501487801
Q9BSQ5;Q9BSQ5-3	0.0115878860098498	0.00798499775894829	0.032426078467857
P27448-8	0.00984624755188683	0.0603556439564197	0.00746784277455051
Q04656;Q04656-2;Q04656-3;Q04656-5	0.00587545481562313	0.0310511428192658	0.000279099334515962
Q5TDH0;Q5TDH0-3	0.00643576107335875	0.0192780577582684	0.00205921728380772
Q6NUQ1	0.0180520894256231	0.0117624594149832	0.017781894023623
Q93009;Q93009-3	0.0183825353135931	0.00564546775260352	0.000132131183492973
Q7Z3U7;Q7Z3U7-5	0.000389261563294265	0.0182490807945384	0.00804738424231118
Q8NDB2	0.0067807084503808	0.053536663639454	0.0109830495340209
Q6UX71	0.0021964951659627	0.0473526989866978	0.0153727636963097
O15027;O15027-2;O15027-3;O15027-4;O15027-5	0.0236669572906034	0.0561638279620942	0.00517240490645342
Q9UNE7	0.00829553278334378	0.0144767613868901	0.00344906719676944
Q00341	0.00155707006264702	0.00149375948825951	0.0102369436747746
O60506-3	0.021767245356263	0.0134312744288221	0.0254254676718845
Q6NXE6;Q6NXE6-2	0.0213629627331278	0.0197078310208593	0.0763649980070579
Q8N335	0.00468847646471289	0.00742142412615181	0.00402494868722419
Q9BT09	0.000912531911722215	0.0537119430006635	0.0110055683468057
Q567U6	0.00031216436307689	0.0334334719042863	0.0189362787851288
Q7KZI7-15;Q7KZI7-16	0.000907955333468506	0.0153818339915202	0.00633663180291881
Q15293	0.00113949315688182	0.00944572198160529	0.000141568660083705
Q9P2W9	0.0189386869071063	0.0630710395518941	0.0468734253545419
P69849;Q15155;Q5JPE7;Q5JPE7-2	0.00418885316946778	0.0169739597195054	0.0213968325474221
Q8TEW0;Q8TEW0-2	0.0196126724708456	0.0285940220354519	0.0122158399547824
