Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.0559684273423824	0.0120749754154288	0.000331077483307359
Q96FJ2	0.0969087661168296	0.00345352747769151	0.00499402360885246
Q9H3S7	0.00881339940674074	0.0309828375025961	0.00246532532391576
Q9Y2B0	0.0232380194925804	0.00186442609782587	0.00588650146534019
Q9UHD2	0.0646513946905701	0.0413403194632347	0.0190280332464441
Q16706	0.052576721843373	0.0223890537025812	0.0341664734046933
A5YKK6	0.0576688613823631	0.0635470785182851	0.00117441294406115
Q14699	0.0309730481915622	0.0292490806458943	0.00289083465965375
Q96D71;Q96D71-3;Q96D71-4	0.0975517418097347	0.0639570995429181	0.00111412016735637
Q96CV9	0.0684074305641855	0.0189400076205309	0.00831075993746902
P42680	0.00925887198725121	0.0336635807920898	0.0153761370940087
Q14152	0.0667319200938871	0.0241689511411001	0.00369936550894487
Q8N3D4	0.0355919730943035	0.0367648454017598	0.00517230456559838
Q9P107	0.0312670288042959	0.0945649267911017	0.0184144100698015
Q8IUD2	0.130687416364233	0.0778442731684039	0.00086005215169585
O60826	0.10737194852134	0.14095840735741	0.0095255828932329
Q9Y4G6	0.00839041603785306	0.0124540601253349	0.00107996942011565
Q5VZ89;Q5VZ89-7	0.059874986542508	0.00806708557229317	2.74822340129479e-05
Q96AT9;Q96AT9-2	0.0267946914641884	0.00712812568567331	0.00200579149133613
O60271	0.0663755558865014	0.0176683744867656	0.0110890376592721
P13796	0.0384880456261535	0.00433096193723372	0.000843577756200059
Q9Y2G3	0.0406888019579536	0.0595060301264332	0.015383354349167
Q9NPQ8;Q9NPQ8-4	0.0609354597760436	0.0109029084631593	0.00859249345671216
P51858	0.012562379627802	0.00125215141264697	0.00021083651632258
Q99536	0.0437796759543849	0.0135307336121078	0.0285012493889688
O00399	0.0899423213932196	0.0339586215544237	0.0009928181724631
Q6P1N0	0.100597326765337	0.037969219911918	0.000456646667652165
Q96JH7	0.0930058840648624	0.135278329399683	0.0149854003983055
Q9UKG1	0.0862775111211603	0.0327167295701171	0.0199181282990695
Q14789-2	0.0429190188369608	0.0121845423639381	0.000303219472580031
Q92963;Q92963-3	0.0760639401055742	0.0310890667577248	0.00840702401843341
Q9P260	0.033630287137385	0.0505193897031538	0.00025232009242725
Q92854	0.0849615591959327	0.0141415625302234	0.0431079603695336
Q9Y2D4	0.017555111425553	0.0486659031654627	6.95389862951984e-05
Q5VYK3	0.0685748640427036	0.00854590875723361	0.0164231912293125
P02686;P02686-2	0.084444053200371	0.0443264582674372	0.000237538123352375
Q13459	0.080393527265949	0.0499073569549161	0.00438373312336412
Q13617-2	0.154322709082699	0.042273978259508	0.00316168056379565
P49758;P49758-3;P49758-7;P49758-9	0.101106727066726	0.00543463655647829	0.00573173985937328
Q96M27	0.023638569428994	0.0319965478165534	0.00486206330783696
Q7RTP6	0.0911286236039699	0.0330324100035082	2.71192435656778e-05
Q9ULP9;Q9ULP9-2	0.0693414869439912	0.0264425023332166	0.000280604633559399
Q8NFH8;Q8NFH8-4	0.0903452538472141	0.056176266226462	0.00257375344436913
Q8TBC4;Q8TBC4-2	0.0359386214145538	4.56334730133055e-05	0.00478343424186565
O75340	0.0395267487099827	0.0582539290048151	0.0172288223957094
Q32P28	0.0101105520907456	0.0312547486449579	0.00548753563535773
Q07889	0.103233298348848	0.0649247588987773	0.00014326057209416
Q9BSJ2;Q9BSJ2-4	0.051905981019715	0.0204088446916199	0.00701139708529567
P20020;P20020-1;P20020-4;P20020-6	0.0118723697831153	0.0200460042512713	0.0122226557285363
P63151	0.0835761089246767	0.0432825640262078	0.00120309198054981
Q8TF64	0.104260864674514	0.0532525810072583	0.00965690904940099
Q5GLZ8;Q5GLZ8-2	0.0348750728634926	0.0513086271172469	0.00260514272750211
Q9NR19;Q9NR19-2	0.0667073710408402	0.0457382446473104	8.50588754477972e-06
P25786;P25786-2	0.00597503025024254	0.026252551759641	0.0117369830804791
Q14289-2	0.0933274764698599	0.107852576680925	0.00807745989033917
O60674	0.0566914790661644	0.0254422306035244	0.000454818243040151
Q6WCQ1-2	0.0382240642085515	0.0616184854199254	0.010332286409303
O75886	0.0392307033873931	0.180180596691365	0.0339556809835282
Q92888-3	0.0839369312260535	0.0407564575783433	0.00888636709072003
Q15052;Q15052-2	0.0871528781646038	0.0248735939795857	0.0046838453977976
P80217;P80217-2	0.0606544721189607	0.0333527953182283	0.00493568489946293
Q92608	0.0220624557710877	0.0134253299922002	0.00597625220194665
O00743;O00743-2	0.0280982036464918	0.00549807600274886	0.00661181525171124
