Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0	0	0.000196296858902228
Q96FJ2	0	0	0.00438078404249652
Q9H3S7	0	0	0.00193549735790786
Q9Y2B0	0	0	0.00660643629941412
Q9UHD2	0	0	0.0182836416602983
Q16706	0	0	0.0337057810185874
A5YKK6	0	0	0.00173840843708972
Q14699	0	0	0.00196053669328203
Q96D71;Q96D71-3;Q96D71-4	0	0	0.00245289247540607
Q96CV9	0	0	0.00937706382965965
P42680	0	0	0.0145306121116567
Q14152	1.37590466153346e-16	0	0.00312504183578919
Q8N3D4	0	0	0.00478477874064046
Q9P107	0	0	0.0167870412647065
Q8IUD2	0	0	0.00122705267772445
O60826	0	0	0.00815171733016178
Q9Y4G6	0	0	0.000747808077613178
Q5VZ89;Q5VZ89-7	0	0	5.0579848971706e-06
Q96AT9;Q96AT9-2	0	1.77786933825444e-16	0.00138304303652031
O60271	0	0	0.00938657220250925
P13796	0	0	0.000543120494279862
Q9Y2G3	0	0	0.0136621403636547
Q9NPQ8;Q9NPQ8-4	1.96480626380315e-16	1.96480626380315e-16	0.00775484225294367
P51858	0	0	6.64747838453106e-06
Q99536	0	0	0.0271564008483342
O00399	0	0	0.000285449909671747
Q6P1N0	0	0	0.000941441438146458
Q96JH7	0	0	0.0136617837863584
Q9UKG1	0	0	0.0183300945157142
Q14789-2	0	0	0.000226333281146286
Q92963;Q92963-3	0	0	0.00734954660631591
Q9P260	0	0	6.22806512608684e-05
Q92854	0	0	0.0408525254892779
Q9Y2D4	0	0	0.000200222244051749
Q5VYK3	1.19211166885223e-16	1.19211166885223e-16	0.015688675834215
P02686;P02686-2	0	0	0.000451137923123899
Q13459	0	0	0.00370167089584622
Q13617-2	0	0	0.00243925283636546
P49758;P49758-3;P49758-7;P49758-9	2.01624355295588e-16	0	0.0041127620084959
Q96M27	0	0	0.0044238126879413
Q7RTP6	0	0	1.22580662317567e-05
Q9ULP9;Q9ULP9-2	0	0	0.000379430510737495
Q8NFH8;Q8NFH8-4	0	0	0.00203240483717246
Q8TBC4;Q8TBC4-2	0	0	0.0033151948943547
O75340	0	0	0.0162905972539774
Q32P28	0	0	0.00521593500798623
Q07889	0	0	1.07760242173001e-05
Q9BSJ2;Q9BSJ2-4	1.50311648045598e-16	0	0.0053473805245429
P20020;P20020-1;P20020-4;P20020-6	0	0	0.0116780642009876
P63151	0	0	0.000588152921806116
Q8TF64	0	0	0.00749619023002619
Q5GLZ8;Q5GLZ8-2	0	0	0.00176958003713412
Q9NR19;Q9NR19-2	0	0	2.28325985412026e-05
P25786;P25786-2	0	0	0.0116044578079898
Q14289-2	0	0	0.00613791692267505
O60674	1.60385644582718e-16	0	0.000191128244780553
Q6WCQ1-2	0	0	0.00960674911198367
O75886	0	0	0.0325715617946625
Q92888-3	0	0	0.0080935642980375
Q15052;Q15052-2	0	0	0.00364394546829162
P80217;P80217-2	0	0	0.00451469877116481
Q92608	1.52995259006035e-16	0	0.00500075836705072
O00743;O00743-2	0	0	0.00475805429097202
Q9BYM8	0	0	0.0287556432818358
Q92783;Q92783-2	0	0	0.00505990575183417
P43490	0	1.12427253518804e-16	0.00811129960032364
Q5T0N5-3;Q5T0N5-4	1.9385539504635e-16	1.9385539504635e-16	0.00649178185198263
Q9UBV8	0	0	0.0095418530808428
P42226	0	0	0.000169707084175103
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0	0	0.00193998223605761
Q7Z392	0	0	0.0041177859948218
Q08211	0	0	0.000375537715314175
Q8IWV7	0	0	0.00767492047077604
Q92538;Q92538-2;Q92538-3	1.17983210910357e-16	0	0.00357140815572509
Q8IVT5	0	1.7770858112495e-16	0.0255736938279544
Q9Y2I8;Q9Y2I8-2	0	0	0.00130272823978245
Q9H6S0	0	0	0.0169297668763251
O75534;O75534-2;O75534-3;O75534-4	0	0	0.00020860179912387
Q9Y485	0	0	0.00970156168272996
O43592	0	0	0.00998443957340952
Q12768	0	0	0.00684893242554279
Q14139;Q14139-2	0	0	0.0117396793610254
Q9H270	0	0	0.00401021562954257
P30043	0	0	0.0161466483772604
A6NDG6	0	0	0.00712492345379114
Q9BQS8;Q9BQS8-4	1.18291534311068e-16	0	0.000437907949758068
Q8N6H7	0	0	0.0229511413214984
P23458	1.88689359892665e-16	1.88689359892665e-16	0.0214611631048051
Q5SWX8	0	0	0.0139304821103891
P49619	0	0	0.000845278737851812
Q5JSL3	0	0	0.0206088377641848
P19838;P19838-2	0	0	0.000845128802386734
Q53GL0;Q53GL0-2	0	0	0.00152320302877172
Q8IUR0	0	0	0.0196353110972121
Q15147-4	0	0	7.2989498437487e-05
Q96CN4-2	0	0	0.00898180765132764
Q9P2D3	0	0	0.000627375870109832
Q5SGD2	2.00508747031501e-16	2.00508747031501e-16	0.00103601027029234
Q9P2E9	1.21213768579834e-16	0	0.0146854628932032
Q7Z460-4	0	0	0.0189398603684425
Q15075	1.45073690763828e-16	1.45073690763828e-16	0.00244907144308453
Q9UPY6-2	0	0	7.76436008303749e-05
Q9BXJ9	0	0	0.00418295564409056
P04083	0	0	0.00324392594101605
Q9NX62	0	0	0.026729953656821
P25788;P25788-2	0	0	0.0139594017083943
P02545	0	0	0.00813580542453157
Q92625	0	0	0.00399564415587642
O75165	0	0	0.00722091431380744
Q68DH5	1.16887172559522e-16	1.16887172559522e-16	0.000114474631305302
P53041	0	0	2.56815301866336e-06
Q0D2K0;Q0D2K0-2	0	0	0.00820445602517423
P20073;P20073-2	0	0	0.016480784332784
Q15042	0	0	0.00109085387349759
P17174	1.40226315455523e-16	0	0.00256971873778354
Q8IUR7;Q8IUR7-7	1.97191953056364e-16	0	0.00377483938036991
Q13107	0	0	0.0129859527304382
Q15046	0	0	0.00763548857951611
P42229	0	0	0.0240064468708146
Q16775;Q16775-2	0	0	0.00107836099102348
Q86TI2	0	0	0.010840059445625
P31040	1.67729893360242e-16	1.67729893360242e-16	0.000156013633379219
Q9Y6K5	0	0	0.0038285917619298
Q15276	0	0	0.001911589739278
O14964	0	0	0.0115034280849002
Q8WVT3	0	0	0.00354513598817797
P17655	1.43043756999946e-16	0	0.0128922539697468
Q8IYI6	0	0	0.0136795227483431
O75592	0	0	0.0159771448787118
P26440	0	0	0.000141516925269781
O15269	0	0	1.4077372381548e-05
P20339;P20339-2	0	0	0.00383629297252887
Q9H2G2;Q9H2G2-2	0	0	0.00534187329772706
O43760-2	0	0	3.66605279085662e-05
Q14258	1.6584152900695e-16	0	0.00904136422076509
Q9BWS9	0	0	0.00136760668550446
Q8NBJ5	0	0	0.0110315369511631
Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	0	0	0.0115498651979374
Q9H3P7	0	0	0.000249757884945599
P52788	0	0	0.00516442538137318
Q8N3P4;Q8N3P4-3	0	0	0.00189779563466021
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	0	0	0.00969556465919676
Q96B97	0	0	0.000652788795828903
Q9H2U2-2	0	0	2.6487614970068e-06
Q92616	0	0	0.000133546635536559
O94915	0	0	0.000510423400344812
Q8TD16	0	0	0.00448252594734921
Q96CW5	0	0	0.00142502168769351
B0I1T2	1.94142537653079e-16	0	0.00126772373571615
P14927	2.2015336323119e-16	0	0.00939181213783646
Q9Y4D8	0	0	0.0037329364764704
Q15057	0	0	0.0105603743772449
Q06124-1	0	0	0.00849637106732128
Q92734;Q92734-2	0	0	0.00155523360438521
Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6	2.15385208159752e-16	2.15385208159752e-16	0.0102188948486107
Q8NCG7	0	0	0.0119547609701414
Q9UKW4	0	0	6.48991268418641e-05
P42345	0	0	0.00111536493748978
P28290	0	0	0.00314218350966917
Q13596	0	1.45301100672287e-16	0.00135152579748853
Q05823	0	0	0.0142116674658772
Q6PKG0	0	0	0.000978898383079155
O43314;O43314-2	0	0	0.0117817895097956
Q96BY6-3	0	0	0.0384503592077587
Q5UE93	0	0	0.0026809073300133
Q93100-4	0	0	0.00844865907373398
Q9BSQ5;Q9BSQ5-3	1.71842758512766e-16	0	0.0153643076257943
P27448-8	0	0	0.0147225102120901
Q04656;Q04656-2;Q04656-3;Q04656-5	0	0	0.00491231945712368
Q5TDH0;Q5TDH0-3	0	0	0.000147216554664156
Q6NUQ1	0	0	0.00473695411870782
Q93009;Q93009-3	1.59603518121561e-16	0	0.00106340334251918
Q7Z3U7;Q7Z3U7-5	0	1.17077215521735e-16	0.00100587977385914
Q8NDB2	0	0	0.0016001222809242
Q6UX71	0	0	0.00733044471481292
O15027;O15027-2;O15027-3;O15027-4;O15027-5	0	0	0.000709274133079533
Q9UNE7	0	0	9.93690488049988e-05
Q00341	0	0	0.00253818971168134
O60506-3	0	0	0.0153050111857379
Q6NXE6;Q6NXE6-2	2.14692420201548e-16	2.14692420201548e-16	0.0471274382226429
Q8N335	0	0	0.000400272614877905
Q9BT09	0	0	0.00384494309922426
Q567U6	0	0	0.00557631628362398
Q7KZI7-15;Q7KZI7-16	0	0	0.00104206220444236
Q15293	0	0	0.00290410823741965
Q9P2W9	0	0	0.0247406027720623
P69849;Q15155;Q5JPE7;Q5JPE7-2	1.75979323695794e-16	0	0.0102668396824516
Q8TEW0;Q8TEW0-2	0	0	0.00253296151333811
P00352	0	0	0.0190986295497673
Q12959-2;Q12959-4	0	0	0.0056800652611071
Q86X10-3	0	0	0.0127048525434365
Q9H2D6-5	0	0	8.81928138454139e-06
Q8IY17;Q8IY17-3	0	0	0.00284213626421284
Q7Z401;Q7Z401-2	0	0	0.00450341154901108
O15031	0	0	0.0161911699980703
Q5VWZ2	0	0	0.00147159051273108
Q9Y2L9-2	0	0	0.0116280328077232
Q9Y296	0	0	0.00417347190405317
Q99570	0	0	0.0148418918176544
Q8IVW4	0	0	0.00141256773790002
Q8N4C8	2.13945323555678e-16	0	0.000542022468036168
Q5JQS6	0	0	0.00618278193589994
Q9NRA1	0	0	0.00798746465140119
Q9BY43-2	0	0	0.00826923918099809
Q9H4B6	0	0	0.00523309472277687
Q9UBP0;Q9UBP0-3	0	0	0.000354833484104424
Q86VS8	1.93237133073474e-16	0	6.68362900472495e-05
