Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0	0	0.000341517630796999
Q96FJ2	0	1.48071513189006e-16	0.00476127583744939
Q9H3S7	0	0	0.00208885132846602
Q9Y2B0	0	0	0.00537174159592937
Q9UHD2	0	0	0.0177542824494163
Q16706	0	0	0.0339129106782638
A5YKK6	0	0	0.00125790818028255
Q14699	0	0	0.00183972977436542
Q96D71;Q96D71-3;Q96D71-4	1.47150900401875e-16	1.47150900401875e-16	0.0021372741347829
Q96CV9	0	0	0.0102770722431747
P42680	0	0	0.0147213260957395
Q14152	0	0	0.00466563877352135
Q8N3D4	0	0	0.00483203618565361
Q9P107	0	0	0.0187888356625606
Q8IUD2	1.89549017288975e-16	0	0.000423037969507281
O60826	0	0	0.00727659871862233
Q9Y4G6	0	0	0.00141857529562197
Q5VZ89;Q5VZ89-7	0	0	4.59984480651132e-05
Q96AT9;Q96AT9-2	0	0	0.00151782185501973
O60271	0	0	0.00954029897385633
P13796	0	0	0.000855851584096418
Q9Y2G3	0	0	0.0147657531577202
Q9NPQ8;Q9NPQ8-4	1.99352661561428e-16	0	0.00776441080058766
P51858	1.29545341482612e-16	0	0.000154942642387922
Q99536	0	0	0.0284649189608545
O00399	0	0	0.00107528811175618
Q6P1N0	0	0	0.000745244023052658
Q96JH7	0	0	0.0139339224531337
Q9UKG1	0	0	0.0209164251668661
Q14789-2	0	0	0.000294715992977179
Q92963;Q92963-3	0	0	0.00924898289042145
Q9P260	0	0	0.000405531429097344
Q92854	0	0	0.0446366172916343
Q9Y2D4	0	0	0.000321159578384659
Q5VYK3	0	0	0.0162405737293889
P02686;P02686-2	0	0	0.000456280678142166
Q13459	0	0	0.00446574765827709
Q13617-2	0	0	0.00234052033623299
P49758;P49758-3;P49758-7;P49758-9	0	0	0.00629604229140952
Q96M27	0	0	0.0040185018392157
Q7RTP6	0	0	6.84586806393863e-06
Q9ULP9;Q9ULP9-2	1.58173032702802e-16	0	0.000284595214375728
Q8NFH8;Q8NFH8-4	0	0	0.00212279587026839
Q8TBC4;Q8TBC4-2	0	0	0.00524802145029434
O75340	0	0	0.0171303996715453
Q32P28	0	0	0.00509747540772297
Q07889	0	0	2.98227610455678e-05
Q9BSJ2;Q9BSJ2-4	0	0	0.00749764566287422
P20020;P20020-1;P20020-4;P20020-6	0	0	0.0110363719536749
P63151	0	0	0.00109595989621058
Q8TF64	0	0	0.0111566358741934
Q5GLZ8;Q5GLZ8-2	0	0	0.00195221844740043
Q9NR19;Q9NR19-2	0	0	6.91760089962949e-07
P25786;P25786-2	0	0	0.0114423339944481
Q14289-2	0	0	0.00837111455445433
O60674	1.64724554232757e-16	0	0.000697976015664759
Q6WCQ1-2	0	1.93097631622683e-16	0.00973310392105002
O75886	0	0	0.0336950257761995
Q92888-3	0	0	0.00865328889302059
Q15052;Q15052-2	1.40562899769611e-16	0	0.00469095613629666
P80217;P80217-2	0	0	0.00529406068546946
Q92608	0	0	0.0057963297205055
O00743;O00743-2	1.8000384739329e-16	1.8000384739329e-16	0.00900868156540138
Q9BYM8	0	0	0.0258725196261983
Q92783;Q92783-2	0	0	0.00427921638555756
P43490	0	0	0.0077711995345589
Q5T0N5-3;Q5T0N5-4	0	1.94764769493603e-16	0.00575957974523932
Q9UBV8	0	0	0.00947504870181675
P42226	1.63098234258773e-16	0	0.000184885547272794
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0	0	0.00173947536330613
Q7Z392	0	0	0.00322259121228597
Q08211	1.39127624360018e-16	1.39127624360018e-16	0.000213369615535157
Q8IWV7	0	0	0.0117046306520285
Q92538;Q92538-2;Q92538-3	0	0	0.00348973544158569
Q8IVT5	0	0	0.0296149612202626
Q9Y2I8;Q9Y2I8-2	0	0	0.00209966313955204
Q9H6S0	0	0	0.0184109608198854
O75534;O75534-2;O75534-3;O75534-4	0	0	8.31393941502165e-05
Q9Y485	1.40379211353316e-16	0	0.012329766677031
O43592	2.16193383933012e-16	2.16193383933012e-16	0.0111458242947359
Q12768	1.81585554850142e-16	0	0.00768152064197797
Q14139;Q14139-2	1.37399650041624e-16	0	0.0139870578225351
Q9H270	1.32360128156363e-16	0	0.00803867333752259
P30043	0	0	0.0174031182946623
