Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.0185940377819787	0.00805556019903991	0.000196296858902519
Q96FJ2	0	1.48071513189006e-16	0.00476127583744939
Q9H3S7	0.0105275345216974	0.025037991014941	0.00193549735790765
Q9Y2B0	0.00169069911262626	0.00300292185741201	0.00660643629941428
Q9UHD2	0	0	0.0177542824494163
Q16706	0.0106450191915688	0.0155883900643686	0.033705781018587
A5YKK6	0	0	0.00125790818028255
Q14699	0.0302426920950595	0.0249798534984043	0.00196053669328181
Q96D71;Q96D71-3;Q96D71-4	1.47150900401875e-16	1.47150900401875e-16	0.0021372741347829
Q96CV9	0.0172375620050462	0.0147963168928536	0.00937706382965953
P42680	0	0	0.0147213260957395
Q14152	0	0	0.00466563877352135
Q8N3D4	0.00381802740781832	0.0288994326301317	0.00478477874064045
Q9P107	0	0	0.0187888356625606
Q8IUD2	1.89549017288975e-16	0	0.000423037969507281
O60826	0	0	0.00727659871862233
Q9Y4G6	0.0106201709363972	0.0112780877445584	0.000747808077613178
Q5VZ89;Q5VZ89-7	0.016704998925231	0.00571077896143013	5.0579848969338e-06
Q96AT9;Q96AT9-2	0.00322609988893409	0.00975654241983145	0.00138304303652013
O60271	0	0	0.00954029897385633
P13796	0	0	0.000855851584096418
Q9Y2G3	0	0	0.0147657531577202
Q9NPQ8;Q9NPQ8-4	0.0200382044834112	0.0076165445772845	0.00775484225294328
P51858	0.000449966968625386	0.000657732017736653	6.64747838453106e-06
Q99536	0.0175379957170044	0.00818343133121073	0.0271564008483341
O00399	0	0	0.00107528811175618
Q6P1N0	0	0	0.000745244023052658
Q96JH7	0	0	0.0139339224531337
Q9UKG1	0	0	0.0209164251668661
Q14789-2	0.0168514175854642	0.00811920162498479	0.000226333281146103
Q92963;Q92963-3	0	0	0.00924898289042145
Q9P260	0	0	0.000405531429097344
Q92854	0	0	0.0446366172916343
Q9Y2D4	0	0	0.000321159578384659
Q5VYK3	0.0232047750632627	0.00649659216437555	0.015688675834215
P02686;P02686-2	0	0	0.000456280678142166
Q13459	0	0	0.00446574765827709
Q13617-2	0	0	0.00234052033623299
P49758;P49758-3;P49758-7;P49758-9	0	0	0.00629604229140952
Q96M27	0	0	0.0040185018392157
Q7RTP6	0.0362674721843549	0.0270782802101715	1.22580662318832e-05
Q9ULP9;Q9ULP9-2	0.0249195735970192	0.0217306853746514	0.000379430510737494
Q8NFH8;Q8NFH8-4	0	0	0.00212279587026839
Q8TBC4;Q8TBC4-2	0	0	0.00524802145029434
O75340	0	0	0.0171303996715453
Q32P28	0.000678455227950301	0.0247538885319442	0.00521593500798602
Q07889	0	0	2.98227610455678e-05
Q9BSJ2;Q9BSJ2-4	0.0181682742914071	0.0159266043700402	0.0053473805245432
P20020;P20020-1;P20020-4;P20020-6	0.00543481700366864	0.0153244481883845	0.0116780642009875
P63151	0	0	0.00109595989621058
Q8TF64	0	0	0.0111566358741934
Q5GLZ8;Q5GLZ8-2	0.0160685014416052	0.0444269408171078	0.00176958003713377
Q9NR19;Q9NR19-2	0	0	6.91760089962949e-07
P25786;P25786-2	0	0	0.0114423339944481
Q14289-2	0	0	0.00837111455445433
O60674	1.64724554232757e-16	0	0.000697976015664759
Q6WCQ1-2	0	1.93097631622683e-16	0.00973310392105002
O75886	0	0	0.0336950257761995
Q92888-3	0	0	0.00865328889302059
Q15052;Q15052-2	1.40562899769611e-16	0	0.00469095613629666
P80217;P80217-2	0	0	0.00529406068546946
Q92608	0.0135721397491997	0.00802497758782672	0.00500075836705043
O00743;O00743-2	1.8000384739329e-16	1.8000384739329e-16	0.00900868156540138
Q9BYM8	0	0	0.0258725196261983
Q92783;Q92783-2	0.00592321226001109	0.0139478171921949	0.00505990575183437
P43490	0.00359619791990576	0.0135939463177551	0.0081112996003232
Q5T0N5-3;Q5T0N5-4	0	1.94764769493603e-16	0.00575957974523932
Q9UBV8	0.0158089619535776	0.0163623200640848	0.0095418530808428
P42226	1.63098234258773e-16	0	0.000184885547272794
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0	0	0.00173947536330613
Q7Z392	0	0	0.00322259121228597
Q08211	1.39127624360018e-16	1.39127624360018e-16	0.000213369615535157
Q8IWV7	0	0	0.0117046306520285
Q92538;Q92538-2;Q92538-3	0	0	0.00348973544158569
Q8IVT5	0	0	0.0296149612202626
Q9Y2I8;Q9Y2I8-2	0.006788525855728	0.0141176092876979	0.00130272823978245
Q9H6S0	0	0	0.0184109608198854
O75534;O75534-2;O75534-3;O75534-4	0	0	8.31393941502165e-05
Q9Y485	1.40379211353316e-16	0	0.012329766677031
O43592	2.16193383933012e-16	2.16193383933012e-16	0.0111458242947359
Q12768	1.81585554850142e-16	0	0.00768152064197797
Q14139;Q14139-2	1.37399650041624e-16	0	0.0139870578225351
Q9H270	1.32360128156363e-16	0	0.00803867333752259
P30043	0	0	0.0174031182946623
A6NDG6	0.0168797203010077	0.00912224053041627	0.00712492345379099
Q9BQS8;Q9BQS8-4	0	0	0.00014980232725982
Q8N6H7	1.11707474126818e-16	0	0.0245229427357205
P23458	0	0	0.023228656990418
Q5SWX8	2.06177453640244e-16	0	0.0153591292005477
P49619	0	0	0.00107992605753905
Q5JSL3	0.017777038387782	0.0241164818259542	0.0206088377641852
P19838;P19838-2	0.038063134023642	0.0349065760623859	0.000845128802386732
Q53GL0;Q53GL0-2	0	0	0.00142352198180077
Q8IUR0	0	0	0.0222322883566683
Q15147-4	0	0	1.38491147351205e-05
Q96CN4-2	1.98954217774669e-16	0	0.0108802959096056
Q9P2D3	0	0	0.000309159707086563
Q5SGD2	0.0160520611123397	0.0264738513692063	0.00103601027029194
Q9P2E9	1.21429080268164e-16	1.21429080268164e-16	0.0150713463181687
Q7Z460-4	0	0	0.0233770177275196
Q15075	1.49383581494941e-16	0	0.0038011633693849
Q9UPY6-2	1.11581508089612e-16	0	0.000661426300903183
Q9BXJ9	0.00754935735971182	0.0131296671209525	0.00418295564409056
P04083	0	0	0.00430343936177907
Q9NX62	0	0	0.0266511426856992
P25788;P25788-2	1.20536166560343e-16	1.20536166560343e-16	0.0137817438162226
P02545	0.0256880740525258	0.0287644466936759	0.00813580542453143
Q92625	0.0021015810421944	0.00627702436028587	0.00399564415587642
O75165	0	0	0.00736397756670822
Q68DH5	0	1.18281485971541e-16	1.0867132984381e-06
P53041	0.00543342298060554	0.0303912787087273	2.56815301866336e-06
Q0D2K0;Q0D2K0-2	0.000729908245104585	0.00155000716546318	0.00820445602517402
P20073;P20073-2	0.0250899643130824	0.00480914705314515	0.016480784332784
Q15042	0	0	0.00204441369775929
P17174	0	0	0.00337299659924141
Q8IUR7;Q8IUR7-7	0	0	0.00328794873382349
Q13107	0	0	0.0150056314967321
Q15046	0	0	0.00886997701313856
P42229	0	0	0.0237107280828927
Q16775;Q16775-2	0	0	0.00137075110639753
Q86TI2	0.0231188801852299	0.0229381145763461	0.010840059445625
P31040	0.0073500048064825	0.0129471325634842	0.000156013633379219
Q9Y6K5	0.0269089757118785	0.0213664269117353	0.00382859176193013
Q15276	1.25031640080763e-16	0	0.00217220061411763
O14964	0.0100371716390098	0.00488481573025937	0.0115034280849003
Q8WVT3	0	0	0.00349436043117669
P17655	0	0	0.0134357751261285
Q8IYI6	0	0	0.0150265212744056
O75592	0	0	0.0203065842840613
P26440	0.00495716856986394	0.00340104655334764	0.000141516925269927
O15269	0	0	0.000139528994452248
P20339;P20339-2	0	0	0.0040272115734798
Q9H2G2;Q9H2G2-2	0	0	0.0075671863826988
O43760-2	0	0	9.37926247404963e-06
Q14258	0	0	0.0116921786159632
Q9BWS9	1.61322132188132e-16	0	0.00224205883575855
Q8NBJ5	0	0	0.0117756412324544
Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	0	0	0.0126882589935026
Q9H3P7	0	0	1.22462232858673e-05
P52788	1.59855670729109e-16	0	0.00720739408695208
Q8N3P4;Q8N3P4-3	0	0	0.00351316841488914
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	0.00748614821221893	0.000909508063302683	0.00969556465919639
Q96B97	0.00140126045375262	0.0136670419502124	0.000652788795829103
Q9H2U2-2	0	0	3.78117858971198e-06
Q92616	0	0	7.76360532174175e-05
O94915	0	0	3.8661489554005e-05
Q8TD16	0	0	0.00556430490436564
Q96CW5	0	0	0.00172149020084444
B0I1T2	0	0	0.00149981633304603
P14927	0	0	0.00859879962493958
Q9Y4D8	0	0	0.00382521612309853
Q15057	0.0110019325864625	0.019209330002953	0.010560374377245
Q06124-1	1.6559640271724e-16	0	0.0106308549373977
Q92734;Q92734-2	0	0	0.00136753853521747
Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6	0	0	0.0115628859451404
Q8NCG7	0	0	0.011314231833776
Q9UKW4	0.0053257857176318	0.0239589556245238	6.48991268417138e-05
P42345	0	0	0.000929532558579634
P28290	0.0201282606546171	0.0101125278543202	0.00314218350966917
Q13596	0	0	0.00208951800467017
Q05823	1.1273476924716e-16	1.1273476924716e-16	0.0165682235979043
Q6PKG0	0	0	0.00121844947783448
O43314;O43314-2	0	0	0.0133686742685272
Q96BY6-3	1.67465339131647e-16	0	0.0410465748733301
Q5UE93	0.00890782403046804	0.0224155214505836	0.0026809073300133
Q93100-4	0	0	0.00852329330758299
Q9BSQ5;Q9BSQ5-3	0.0335741656200341	0.0156014986531917	0.0153643076257942
P27448-8	0	0	0.0135404127996376
Q04656;Q04656-2;Q04656-3;Q04656-5	0.0122062821553175	0.0296933825848796	0.00491231945712352
Q5TDH0;Q5TDH0-3	0	1.29652834095584e-16	7.19440032461849e-05
Q6NUQ1	0	0	0.00499726955954002
Q93009;Q93009-3	0	0	0.00237341286963039
Q7Z3U7;Q7Z3U7-5	0.00682366904509302	0.0165957748291976	0.00100587977385902
Q8NDB2	0	0	0.00119073072523301
Q6UX71	0	0	0.00896954364954804
O15027;O15027-2;O15027-3;O15027-4;O15027-5	0	0	0.000867966138505206
Q9UNE7	1.76864693263922e-16	0	0.00062584100761938
Q00341	0.0111046952054104	0.0106040084047096	0.00253818971168149
O60506-3	0.0138228833258718	0.0242710873124892	0.0153050111857379
Q6NXE6;Q6NXE6-2	0	0	0.0502336616244368
Q8N335	0	0	0.000884603614918611
Q9BT09	0	0	0.00691061975603591
Q567U6	0.00495776741722447	0.0197373190446109	0.00557631628362431
Q7KZI7-15;Q7KZI7-16	0.00868767741556606	0.0266470597564592	0.00104206220444236
Q15293	0.0107775755784223	0.00215868717771477	0.00290410823741953
Q9P2W9	0	0	0.0279291015325195
P69849;Q15155;Q5JPE7;Q5JPE7-2	0	1.77474466001731e-16	0.0110233222826079
Q8TEW0;Q8TEW0-2	0	0	0.00287093493015395
P00352	0.00327739456227034	0.00277530052455928	0.0190986295497671
Q12959-2;Q12959-4	0.0133327989419013	0.0177840678110016	0.00568006526110722
Q86X10-3	1.45133867366549e-16	1.45133867366549e-16	0.0132081132886195
Q9H2D6-5	0	0	0.000263102029430544
Q8IY17;Q8IY17-3	0	1.22396599488745e-16	0.00267521075404263
Q7Z401;Q7Z401-2	0.0135654840074093	0.00913278367275458	0.00450341154901128
O15031	1.20062391788236e-16	1.20062391788236e-16	0.0184341507603697
Q5VWZ2	1.23441625937147e-16	0	0.00320188228421333
Q9Y2L9-2	0	0	0.0121297230754124
Q9Y296	0	0	0.00513305433248814
Q99570	0.0293129970157295	0.0295909034239155	0.0148418918176544
Q8IVW4	0	1.1420974077347e-16	0.00118402227042344
Q8N4C8	0.0133563379720633	0.0220630687365138	0.00054202246803574
Q5JQS6	2.17321728039056e-16	2.17321728039056e-16	0.00741778295985547
