Protein.Group	Run_partial_R2	Plate_partial_R2	Group_partial_R2
Q9Y3A5	0.0559693077027393	0.0120760720010051	0.000331232627238431
Q96FJ2	0.0969106373873452	0.00345380797877444	0.00499478181028122
Q9H3S7	0.00881393715126783	0.0309828748527662	0.00246567371044677
Q9Y2B0	0.023237394816334	0.00186446405084532	0.00588591771232116
Q9UHD2	0.0646511314273275	0.0413432090637323	0.0190282431467504
Q16706	0.0525773746433555	0.0223905691232176	0.0341689302456915
A5YKK6	0.0576690385091082	0.0635522192412435	0.00117411130476776
Q14699	0.030973526743365	0.0292511462670531	0.00289085857359936
Q96D71;Q96D71-3;Q96D71-4	0.0975547056408796	0.0639630324101028	0.00111369931626737
Q96CV9	0.068406162070726	0.0189413047423105	0.00831038012097186
P42680	0.00925993595444632	0.0336642135984074	0.0153771531854722
Q14152	0.0667323421202095	0.0241708846529187	0.00369985406255622
Q8N3D4	0.0355920244843806	0.0367669087976906	0.0051729099674747
Q9P107	0.0312670942595897	0.0945687108257108	0.0184152478328485
Q8IUD2	0.130688155363888	0.0778495497462899	0.000860022049907349
O60826	0.107374605122474	0.140964323850954	0.00952627836986247
Q9Y4G6	0.00838963766515322	0.0124547541181469	0.00108022755687082
Q5VZ89;Q5VZ89-7	0.0598744745246813	0.00806866741877831	2.75350208638977e-05
Q96AT9;Q96AT9-2	0.0267946200485935	0.00712822963707081	0.00200604141967242
O60271	0.0663762569640263	0.0176702989264473	0.0110897085776798
P13796	0.0384887051224932	0.0043314160802562	0.000843866737432662
Q9Y2G3	0.0406897273509352	0.0595090468680632	0.0153844833514879
Q9NPQ8;Q9NPQ8-4	0.0609348938816786	0.0109036808870137	0.00859313271394307
P51858	0.0125619227032406	0.00125231371378623	0.000210942226806905
Q99536	0.0437805711673394	0.0135314506536279	0.0285029581444111
O00399	0.0899432477898687	0.0339603848914712	0.000993061012609976
Q6P1N0	0.100601041699723	0.0379735986966372	0.000456513526192015
Q96JH7	0.0930058324692743	0.135282912428599	0.014985450549255
Q9UKG1	0.0862772525403395	0.0327178127183854	0.019919293131395
Q14789-2	0.0429188325748668	0.0121860779143743	0.000303283175151652
Q92963;Q92963-3	0.076063328902589	0.0310917903536859	0.00840654493890668
Q9P260	0.0336296164835776	0.0505215264398331	0.000252389658087645
Q92854	0.0849602419267379	0.0141433111831337	0.0431076135504604
Q9Y2D4	0.0175548779608326	0.0486685436076993	6.94948740540479e-05
Q5VYK3	0.0685744584374056	0.00854652060287734	0.0164241846384429
P02686;P02686-2	0.0844449119025556	0.0443284785967993	0.000237414562599606
Q13459	0.0803933427161078	0.0499087113053275	0.0043842786684765
Q13617-2	0.154323554017715	0.0422771815750667	0.00316211500129958
P49758;P49758-3;P49758-7;P49758-9	0.101107495065767	0.00543611701192374	0.00573254062388097
Q96M27	0.0236392839814784	0.0319990077167714	0.00486289670966606
Q7RTP6	0.0911302395167357	0.0330343169417939	2.71726509228802e-05
Q9ULP9;Q9ULP9-2	0.0693429203019629	0.0264445283174416	0.000280635185514584
Q8NFH8;Q8NFH8-4	0.0903462326593914	0.0561786193554424	0.00257407380787338
Q8TBC4;Q8TBC4-2	0.03593748740937	4.55843063885206e-05	0.00478355536876945
O75340	0.0395282507377975	0.0582557609064935	0.0172299579716749
Q32P28	0.010109696305653	0.0312573307133106	0.00548821407628918
Q07889	0.103235834510756	0.064931620329697	0.000143283463557841
Q9BSJ2;Q9BSJ2-4	0.051905600691412	0.020411596501638	0.00701187066703973
P20020;P20020-1;P20020-4;P20020-6	0.0118720899770082	0.0200476597345201	0.0122231217949365
P63151	0.083577419833931	0.0432869006485087	0.00120301826784314
Q8TF64	0.104261406455291	0.0532563414553293	0.00965733477127795
Q5GLZ8;Q5GLZ8-2	0.0348755305392933	0.0513115650852885	0.00260522306726342
Q9NR19;Q9NR19-2	0.0667081215752085	0.0457436198319358	8.52130769456549e-06
P25786;P25786-2	0.0059753560339614	0.026253673225533	0.011737549574335
Q14289-2	0.0933290514281617	0.107856379400584	0.00807831217608247
O60674	0.0566908589225752	0.0254440284850311	0.000454952373593533
Q6WCQ1-2	0.0382236199316522	0.0616199456610448	0.0103325642344558
O75886	0.0392318448965396	0.180186250624111	0.0339584884425985
Q92888-3	0.0839359621466438	0.0407574061525882	0.00888673883426752
Q15052;Q15052-2	0.0871519764788319	0.0248778461270154	0.00468435381025426
P80217;P80217-2	0.0606569609154969	0.0333553857681533	0.00493584763549866
Q92608	0.022063134908792	0.0134264136722467	0.0059770377499835
O00743;O00743-2	0.0280974589778359	0.00549822936199671	0.00661223780994154
Q9BYM8	0.0768417709208879	0.061134770216109	0.030785112641094
Q92783;Q92783-2	0.0356574880385341	0.0136075442438476	0.00570760263544654
P43490	0.0340644626669826	0.0134695119947882	0.00853585398971032
Q5T0N5-3;Q5T0N5-4	0.105723962895139	0.0833289397924666	0.00788967081915246
Q9UBV8	0.0140511132108759	0.022140170280875	0.0101044964639314
P42226	0.0141693147778129	0.0337731483557559	0.000400047092666327
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	0.0284208094744627	0.0164810841127545	0.00225159355902042
Q7Z392	0.0282921477485164	0.0409639628189816	0.00314159317650783
Q08211	0.0143776040619199	0.01035730158984	0.000864141539537269
Q8IWV7	0.0690565288378098	0.00253545572004128	0.00950326494033648
Q92538;Q92538-2;Q92538-3	0.0885787166453526	0.0938204980565598	0.00370040550424492
Q8IVT5	0.109394375706446	0.0909120965246449	0.027432719772496
Q9Y2I8;Q9Y2I8-2	0.0399164523369182	0.0190620151778101	0.0023084835371938
Q9H6S0	0.101972065797162	0.079057676303236	0.0168523923931495
O75534;O75534-2;O75534-3;O75534-4	0.138623673763595	0.0620740359233357	7.467613734113e-05
Q9Y485	0.0464715413577703	0.0315288400358518	0.00697219527509037
O43592	0.041532190519331	0.0426055941705631	0.0117577009307697
Q12768	0.0583635867011186	0.0512723669659179	0.00835851700417909
Q14139;Q14139-2	0.103698889331272	0.0787937393881173	0.0136753270099517
Q9H270	0.226023591798944	0.0353048043124738	0.00611177273667794
P30043	0.00458746973997104	0.0921880833024896	0.0171425922691564
A6NDG6	0.0156934458278204	0.0151759149613171	0.00778111812414479
Q9BQS8;Q9BQS8-4	0.108239215682255	0.0522937222655782	0.000147976223983544
Q8N6H7	0.026729221733628	0.0883664047567918	0.0241182603444121
P23458	0.0434900318924009	0.145201366561903	0.0221533022325204
Q5SWX8	0.0639581304216696	0.0267107100826662	0.0157014526132621
P49619	0.0611231856654772	0.0546469077685472	0.00162598892077403
Q5JSL3	0.0488173681448935	0.0298050264775037	0.0223785522722088
P19838;P19838-2	0.0781188801847158	0.0406765390005307	0.0017015751316222
Q53GL0;Q53GL0-2	0.0741962476812476	0.0641272270846591	0.00206109733168634
Q8IUR0	0.105264041250223	0.0258377531197017	0.0210529659661713
Q15147-4	0.0303449402682047	0.0453539173501456	1.09601075998738e-05
Q96CN4-2	0.0575699471920218	0.0157830240042778	0.00936764503411813
Q9P2D3	0.0614140249703033	0.007660004646107	0.000188483968209988
Q5SGD2	0.0425247776529028	0.0329264992084027	0.00165033357512488
Q9P2E9	0.0653689956649384	0.0556237788169663	0.0163821567529373
Q7Z460-4	0.0844185681173649	0.0434092343875717	0.020907260168013
Q15075	0.0433846864837773	0.075686008185969	0.00324161717417234
Q9UPY6-2	0.0616809214038255	0.0247954997697246	0.000541069959043451
Q9BXJ9	0.00754658498482228	0.0165145150417113	0.00519882625779574
P04083	0.0231097055594561	0.0099649161316193	0.00402597896855315
Q9NX62	0.0928619307640013	0.0211761107236128	0.0273334303423675
P25788;P25788-2	0.0977397747267955	0.0517689074672837	0.0134422980972373
P02545	0.0531863590150379	0.0338637247552159	0.00906699233850767
Q92625	0.0130129211686536	0.00955029739532648	0.0048591089478283
O75165	0.0689422052878836	0.0735606925463622	0.00815882124361061
Q68DH5	0.0532923636311372	0.0418755327200061	0.000426592438150967
P53041	0.00997034665759293	0.0292921042055257	0.000192155891975328
