Protein.Group	detect_study	detect_internal	detect_plate_qc
A0A024R1R8;Q9Y2S6	0.65945945945946	0.333333333333333	0.666666666666667
A0A075B6H9	0.962162162162162	1	1
A0A075B6I0	0.918918918918919	1	1
A0A075B6I1	0.335135135135135	0.444444444444444	1
A0A075B6I4	0.183783783783784	0.444444444444444	0.222222222222222
A0A075B6I9	0.864864864864865	1	1
A0A075B6J9	0.85945945945946	1	1
A0A075B6K4	0.886486486486487	1	1
A0A075B6K5	0.621621621621622	0.888888888888889	0.666666666666667
A0A075B6P5;A0A087WW87;P01614;P01615	0.967567567567568	1	1
A0A075B6Q5	0.0810810810810811	0.111111111111111	0
A0A075B6R2	0.156756756756757	0.222222222222222	0.333333333333333
A0A087WSX0	0.945945945945946	1	1
A0A087WSY4	0.637837837837838	0.222222222222222	0.444444444444444
A0A0A0MRZ8;P04433	1	1	1
A0A0A0MRZ9	0.437837837837838	0.666666666666667	0.222222222222222
A0A0A0MS15	1	1	1
A0A0A0MT36;A0A0C4DH26	0.243243243243243	0.777777777777778	0.555555555555556
A0A0B4J1U7	1	1	1
A0A0B4J1V0	0.918918918918919	1	0.888888888888889
A0A0B4J1V2	0.632432432432433	0.888888888888889	0.555555555555556
A0A0B4J1V6	0.8	1	1
A0A0B4J1X5	1	1	1
A0A0B4J1Y8	0.848648648648649	1	1
A0A0B4J1Y9	1	1	1
A0A0B4J2D5	0.827027027027027	1	1
A0A0B4J2D9;P0DP09	0.259459459459459	0.111111111111111	0.222222222222222
A0A0B4J2F0	0.2	0.888888888888889	0.222222222222222
A0A0C4DH25	1	1	1
A0A0C4DH29	0.248648648648649	0.777777777777778	0.666666666666667
A0A0C4DH31	0.162162162162162	0.555555555555556	0.333333333333333
A0A0C4DH34	1	1	1
A0A0C4DH35	0.318918918918919	0.444444444444444	0.222222222222222
A0A0C4DH36	0.6	0.333333333333333	0.555555555555556
A0A0C4DH38	0.47027027027027	0.444444444444444	0.333333333333333
A0A0C4DH43	0.951351351351351	1	1
A0A0C4DH67	0.118918918918919	0.666666666666667	0
A0A0C4DH68	0.913513513513514	1	1
A0A0C4DH72	0.0918918918918919	0.222222222222222	0.222222222222222
A0A0J9YX35	0.735135135135135	0.888888888888889	0.777777777777778
A0A0J9YXX1	0.913513513513514	1	1
A0A1B0GTC6	1	1	1
A0AUZ9-2	0.118918918918919	0.111111111111111	0
A0AVT1	0.935135135135135	1	1
A0FGR8-2	0.994594594594595	1	1
A0FGR8-6	0.313513513513514	1	0.888888888888889
A0M8Q6	0.443243243243243	0.777777777777778	0.888888888888889
A0MZ66;A0MZ66-3;A0MZ66-4	0.162162162162162	0.777777777777778	0.444444444444444
A0PJW6	0.151351351351351	0.666666666666667	0.333333333333333
A1A4S6	0.902702702702703	1	1
A1A5C7	0.497297297297297	1	1
A1L0T0	0.643243243243243	1	1
A1L170-2	0.248648648648649	1	0.666666666666667
A1L390	0.259459459459459	1	0.555555555555556
A1L3X0	0.854054054054054	1	1
A1L4H1	0.145945945945946	0.111111111111111	0.222222222222222
A1X283	0.735135135135135	1	1
A2A2Y4;A2A2Y4-2;A2A2Y4-5	0.210810810810811	1	0.666666666666667
A2NJV5	1	1	1
A2RRP1	0.891891891891892	1	1
A2RTX5	0.654054054054054	1	1
A2RUS2;A2RUS2-2	0.967567567567568	1	1
A3KN83-4	0.535135135135135	1	0.666666666666667
A4D126;A4D126-2	0.286486486486487	1	0.777777777777778
A4D1B5	0.772972972972973	1	1
A4D1P6;A4D1P6-2	0.6	1	1
A4FU01	0.540540540540541	1	1
A4FU69;A4FU69-3	0.135135135135135	0.222222222222222	0.111111111111111
A4UGR9-4	0.508108108108108	1	1
A4UGR9;A4UGR9-3	0.0648648648648649	0.444444444444444	0
A5D8V6	0.956756756756757	1	1
A5PLL7;A5PLL7-2	0.178378378378378	1	0.444444444444444
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5	0.681081081081081	1	1
A5YKK6	0.85945945945946	1	1
A6NC98	0.0540540540540541	0.555555555555556	0
A6NCC3-1;I6L899-2	0.643243243243243	0.777777777777778	0.222222222222222
A6NCE7;Q9GZQ8	0.12972972972973	0.777777777777778	0.222222222222222
A6NCL7	0.32972972972973	1	0.777777777777778
A6NDG6	0.989189189189189	1	1
A6NDU8	0.464864864864865	1	0.888888888888889
A6NFX1	0.686486486486487	1	1
A6NGU5	0.102702702702703	0	0.222222222222222
A6NHL2;A6NHL2-2	0.664864864864865	1	1
A6NHM9	0.827027027027027	0.666666666666667	0.888888888888889
A6NHR9	0.108108108108108	0.111111111111111	0.222222222222222
A6NIH7	0.378378378378378	1	1
A6NML5	1	1	1
